GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,Owner GEM Entity ID,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code,opening_year_final,_imputed_flag_year,reserves_initial_EJ
M0001,,Afghanistan,Shabashak Coal Mine,,,,https://www.gem.wiki/Shadashak_Coal_Mine,,Operating,,,,North Coal Enterprise (NCE) [100%],E100000131989 [100%],,North Coal Enterprise (NCE),Afghanistan,,1.1,,,Underground,,,494.0,Estimate,917,Estimate,Bituminous,Met,,,,,,,,,1967,,,,,Shabashak,Dar-l-Suf,Samangan,Southern Asia,Asia,35.863255,67.596674,Approximate,,,,,,,,,,,24.1,0.016,13.7,1.6,1.3,0.5,4,2004,0,
M0002,,Australia,Airly Coal Mine,,,,https://www.gem.wiki/Airly_Mine,,Operating,,,,Centennial Coal Company Pty Ltd [100%],E100001001131 [100%],,Banpu,"Australia, Thailand",1.44,0.65,2023,,Underground,Longwall,,500.0,Estimate,155,Exact,Bituminous,Thermal,,,,,21.0,2023,85.0,32.0,2009,,25,,Western,Capertee,,New South Wales,Australia and New Zealand,Oceania,-33.1130709,150.0149367,Exact,Coal Plant,Mount Piper power station,https://www.gem.wiki/Mount_Piper_power_station,,,0.03,2022,,,,14.3,0.01,13.8,1.6,0.8,0.3,36,2018,0,
M0004,,Australia,Angus Place Coal Mine,Angus Place Mine Extension Project (MPMEP),,,https://www.gem.wiki/Angus_Place_Colliery,,Proposed,Pre-Permit,Expansion,,Boulder Mining Pty Ltd [50%]; Centennial Springvale Pty Ltd [50%],E100000131412 [50%]; E100001001137 [50%],,Banpu,Thailand,2.4,,,,Underground,,104.6,500.0,Estimate,270,Exact,Subbituminous,Thermal,,,,,54.0,,,23.0,,,18,2024,Western,Lithgow,,New South Wales,Australia and New Zealand,Oceania,-33.349157,150.199019,Exact,,,,,,,,,,,17.3,0.012,4.5,1.6,1.0,0.3,36,2004,1,
M0004,,Australia,Angus Place Coal Mine,,,,https://www.gem.wiki/Angus_Place_Colliery,,Mothballed,Care and Maintenance,,,Boulder Mining Pty Ltd [50%]; Centennial Springvale Pty Ltd [50%],E100000131412 [50%]; E100001001137 [50%],,Banpu,Thailand,3,0,,,Underground,,,550.0,Exact,280,Exact,Subbituminous,Thermal,,,,,53.0,,,18.0,,,4,,Western,Lithgow,,New South Wales,Australia and New Zealand,Oceania,-33.351985,150.099356,Exact,,,,,,0.643,2023,,,,0.0,0.0,4.8,1.6,0.0,0.0,36,2004,1,
M0005,,Australia,Appin Coal Mine,"West Cliff, Tower Colliery, Appin North, Appin East, Appin West, BSO Project",,,https://www.gem.wiki/Appin_mine,,Operating,,,,Gear M Illawarra Met Coal Pty Ltd(GM-3) [100%],E100002010038 [100%],,Golden Energy and Resources Pte Ltd (GEAR); M Resources Pty Ltd,Australia,,3.797,2023,,Underground,Longwall,,550.0,Exact,875,Exact,Bituminous,Met,,,,,113.0,,774.0,30.0,1962,,19,,Southern,Appin,,New South Wales,Australia and New Zealand,Oceania,-34.211194,150.792736,Exact,Terminal (Export),Port Kembla Coal Terminal,https://www.gem.wiki/Port_Kembla_Coal_Terminal,,,,,,,Yes,86.9,0.058,14.3,1.6,4.8,1.7,36,2018,0,
M0007,,Australia,Ashton Coal Mine,Watagan,,,https://www.gem.wiki/Ashton_Coal_Mine,,Operating,,,,Ashton Coal Operations [100%],E100001013009 [100%],,Yankuang Energy,"Australia, China",,0.7,2023,,Underground & Surface,Mixed,3.15,200.0,Exact,315,Exact,Bituminous,Met,,,,,18.0,2024,268.0,26.0,2004,,9,,Hunter,Singleton,,New South Wales,Australia and New Zealand,Oceania,-32.468942,151.078493,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,381.866,2023,,,Yes,9.6,0.006,8.6,1.6,0.5,0.2,36,2018,0,
M0007,,Australia,Ashton Coal Mine,Ashton South East,,,https://www.gem.wiki/Ashton_Coal_Mine,,Cancelled,Permitted,Expansion,,Ashton Coal Operations [100%],E100001013009 [100%],,Yankuang Energy,"Australia, China",1.8,,,,Surface,Open Pit,,60.0,Estimate,160,Exact,Bituminous,Thermal & Met,,,,,,2024,,,2026,,7,,Hunter,Singleton,,New South Wales,Australia and New Zealand,Oceania,-32.468942,151.078493,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,,,,,,10.1,0.007,3.5,1.6,0.6,0.2,36,2004,0,
M0008,,Australia,Baralaba Coal Mine,Baralaba North,,,https://www.gem.wiki/Baralaba_coal_mine,,Operating,,,,Baralaba Coal Co [100%],E100000131345 [100%],,AMCI Group,USA,1.5,1.58,2024,,Surface,Open Pit,,60.0,Estimate,400,Exact,Bituminous,Thermal & Met,0.9,0.1,Reported,2024.0,97.0,2017,,61.0,2005,,,,Bowen,,,Queensland,Australia and New Zealand,Oceania,-24.13680401,149.7936125,Exact,Terminal (Export),Port of Gladstone,https://www.gem.wiki/Port_of_Gladstone,,,122.385,2023,,,,8.3,0.006,3.5,1.5,0.5,0.2,36,2019,0,
M0008,,Australia,Baralaba Coal Mine,"Baralaba South, BSP",,,https://www.gem.wiki/Baralaba_coal_mine,,Proposed,Pre-Permit,Extension,,Baralaba Coal Co [100%],E100000131345 [100%],,AMCI Group,USA,1.6,,,,Surface,Open Pit,22.14,60.0,Estimate,875,Exact,Bituminous,Thermal & Met,,,,,110.0,2017,,69.0,2028,,19,,Bowen,Baralaba,,Queensland,Australia and New Zealand,Oceania,-24.15411438,149.8027197,Exact,,,,,,,,,,,8.4,0.006,3.5,1.5,0.5,0.2,36,2004,0,
M0009,,Australia,Belview Coal Mine,,,,https://www.gem.wiki/Belview_coal_project,,Shelved,Exploration,New,,Stanmore Resources Ltd [100%],E100001010097 [100%],,Stanmore Resources,Singapore,2,,,,Underground,,,500.0,Estimate,,,Bituminous,Met,,,,,,,330.0,,2027,,,,,Blackwater,,Queensland,Australia and New Zealand,Oceania,-23.587132,148.977385,Exact,Terminal (Export),Port of Gladstone,https://www.gem.wiki/Port_of_Gladstone,,,,,,,,44.2,0.03,13.8,1.6,2.4,0.9,36,2004,0,
M0010,,Australia,Bengalla Coal Mine,,,,https://www.gem.wiki/Bengalla_mine,,Operating,,,,Bengalla Mining Company [100%],E100001013151 [100%],,New Hope Group [80%]; Taipower [20%],China,,11.8,2023,,Surface,Open Pit,12,270.0,Exact,420,Exact,Subbituminous,Thermal,,,,,166.0,2023,350.0,14.0,1996,2039.0,24,,Hunter,Muswellbrook,,New South Wales,Australia and New Zealand,Oceania,-32.268076,150.84,Exact,Terminal (Export),,,,,573.941,2023,,,,54.9,0.037,3.1,1.5,3.0,1.1,36,2018,0,
M0011,,Australia,Blackwater Coal Mine,"Stewarton, Taurus, Tannyfoil, Wilpeena",,,https://www.gem.wiki/Blackwater_mine,,Operating,,,,Whitehaven Coal Ltd [100%],E100001010381 [100%],,Whitehaven Coal Ltd [100%],"Australia, Japan",,12.51,2023,,Surface,Open Pit,210,60.0,Estimate,1554,Exact,Bituminous,Thermal & Met,0.78,0.22,Reported,2024.0,200.0,2024,1603.0,16.0,1967,,20,,Bowen,Blackwater,,Queensland,Australia and New Zealand,Oceania,-23.685585,148.807361,Exact,Terminal (Export),Hay Point Coal Terminal,https://www.gem.wiki/Hay_Point_Coal_Terminal,,,611.588,2023,,,,65.7,0.044,3.5,1.5,3.6,1.3,36,2018,0,
M0012,,Australia,Blair Athol Coal Mine,,,,https://www.gem.wiki/Blair_Athol_mine,,Operating,,,,Orion Mining [100%],E100000132008 [100%],,TerraCom,Australia,2.1,1.995,2024,,Surface,Open Pit,15.5,50.0,Estimate,362,Estimate,Subbituminous,Thermal,,,,,16.0,2023,31.0,8.0,1924,,,,,Clermont,,Queensland,Australia and New Zealand,Oceania,-22.703221,147.54353,Exact,,,,,,,,,,,2.4,0.002,0.8,1.5,0.1,0.0,36,2019,0,
M0013,,Australia,Bloomfield Coal Mine,,,,https://www.gem.wiki/Bloomfield_Mine_and_Colliery,,Operating,,,,Bloomfield Collieries Pty Ltd [100%],E100000131402 [100%],,Bloomfield Group,Australia,1.2,0.66,2023,,Surface,Open Pit,,60.0,Estimate,100,Exact,Bituminous,Thermal & Met,0.5,0.5,Estimated,,4.0,2023,,6.0,1937,,10,,,Cessnock,,New South Wales,Australia and New Zealand,Oceania,-32.7928986,151.5841947,Exact,,,,,,19.285,2023,,,,3.5,0.002,3.5,1.5,0.2,0.1,36,2018,0,
M0014,,Australia,Boggabri Coal Mine,Boggabri Coal Expansion Project,,,https://www.gem.wiki/Boggabri_coal_mine,,Operating,,,,Boggabri Coal Operations [100%],E100000131406 [100%],,Idemitsu Australia Resources - Idemitsu Kosan [80%]; Energia Group [10%]; Nippon Steel [10%],"Japan, Australia",,8.07,2023,,Surface,Open Pit,20.56,60.0,Estimate,528,Estimate,Bituminous,Thermal & Met,0.5,0.5,Estimated,,,,,,2006,,,,Gunnedah,Boggabri,,New South Wales,Australia and New Zealand,Oceania,-30.6116182,150.1550389,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,192.864,2023,,,,42.4,0.028,3.5,1.5,2.3,0.8,36,2018,0,
M0014,,Australia,Boggabri Coal Mine,"Boggabri Coal Modification 8 project, MOD8",,,https://www.gem.wiki/Boggabri_coal_mine,,Proposed,Permitted,Expansion,,Boggabri Coal Operations [100%],E100000131406 [100%],,Idemitsu Australia Resources - Idemitsu Kosan [80%]; Energia Group [10%]; Nippon Steel [10%],"Japan, Australia",0.5,,,,Surface,Open Pit,,60.0,Estimate,572,Estimate,Bituminous,Thermal & Met,,,,,30.0,,62.0,,2025,2040.0,,,,Boggabri,,New South Wales,Australia and New Zealand,Oceania,-30.6116182,150.1550389,Approximate,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,,,,,,2.6,0.002,3.5,1.5,0.1,0.1,36,2013,0,
M0016,,Australia,Broadmeadow Coal Mine,,,,https://www.gem.wiki/Broadmeadow_mine,,Operating,,,,BM Alliance Coal Operations Pty Ltd [100%],E100000131306 [100%],,BHP [50%]; Mitsubishi Corporation [50%],Australia,,5.786,2024,,Underground,Longwall,,500.0,Estimate,618,Estimate,Bituminous,Met,,,,,165.0,,1010.0,29.0,2005,,,,Bowen,Moranbah,,Queensland,Australia and New Zealand,Oceania,-21.8223589,147.9774,Exact,,,,,,,,,,,127.8,0.086,13.8,1.6,7.1,2.6,36,2019,0,
M0017,,Australia,Bulga Coal Mine,"Bulga Optimization Project Modification 3, Bulga Extension Project",,,https://www.gem.wiki/Bulga_coal_mine,,Proposed,Permitted,Extension,,Bulga Coal Management (BCM) [100%],E100001013197 [100%],,Glencore [87.5%]; Nippon Steel [12.5%],"Switzerland, Japan",,,,,Surface,Open Pit,0.2,90.0,Exact,,,Bituminous,Thermal & Met,,,,,63.0,,,,2020,,,,Hunter,Bulga,,New South Wales,Australia and New Zealand,Oceania,-32.6795434,151.1000279,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,,,,,,,,4.9,1.5,,,36,2004,0,
M0017,,Australia,Bulga Coal Mine,,,,https://www.gem.wiki/Bulga_coal_mine,,Operating,,,,Bulga Coal Management (BCM) [100%],E100001013197 [100%],,Glencore [87.5%]; Nippon Steel [12.5%],"Switzerland, Japan",7,10.195,2023,,Underground & Surface,Mixed,55,90.0,Exact,750,Exact,Bituminous,Thermal & Met,0.5,0.5,Estimated,,159.0,,2830.0,16.0,1982,,,,Hunter,Bulga,,New South Wales,Australia and New Zealand,Oceania,-32.6795434,151.1000279,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,512.403,2023,,Yes,,74.9,0.05,4.9,1.5,4.1,1.5,36,2018,0,
M0018,,Australia,Byerwen Coal Mine,Byerwen Coal Project,,,https://www.gem.wiki/Byerwen_Coal_Project,,Operating,,,,Byerwen Coal [100%],E100000131449 [100%],,QCoal [85%]; JFE Steel [15%],"Australia, Japan",6,6.977,2024,,Surface,Open Pit,69.97,60.0,Estimate,545,Exact,Bituminous,Thermal & Met,0.33,0.67,Reported,2024.0,,,690.0,,2017,,,,,Glenden,,Queensland,Australia and New Zealand,Oceania,-21.242828,147.835392,Exact,Terminal (Export),Abbot Point Coal Terminal,https://www.gem.wiki/Abbot_Point_Coal_Terminal,,,331.632,2023,,,,36.6,0.025,3.5,1.5,2.0,0.7,36,2019,0,
M0019,,Australia,Callide Coal Mine,,,,https://www.gem.wiki/Callide_mine,,Operating,,,,Batchfire Resources [100%],E100000131352 [100%],,Batchfire Resources,Australia,6,8.74,2024,,Surface,Open Pit,176,50.0,Estimate,700,Exact,Subbituminous,Thermal,,,,,244.0,2012,1700.0,28.0,1944,,,,Callide Basin,Biloela,,Queensland,Australia and New Zealand,Oceania,-24.310921,150.622173,Exact,Coal Plant,Callide power station,https://www.gem.wiki/Callide_power_station,,,,,,,,10.5,0.007,0.8,1.5,0.6,0.2,36,2019,0,
M0020,,Australia,Cameby Downs Coal Mine,Cameby Downs Continuation Project,,,https://www.gem.wiki/Cameby_Downs_mine,,Proposed,Construction,Expansion,,Syntech Resources [100%],E100000132258 [100%],,Shandong Energy,China,2.4,,,,Surface,Open Pit,,50.0,Estimate,,,Subbituminous,Thermal,,,,,,,,0.0,,,,,,Dalby,,Queensland,Australia and New Zealand,Oceania,-26.6540316,150.3354945,Exact,Terminal (Export),Port of Brisbane,,,,,,,,,2.9,0.002,0.8,1.5,0.2,0.1,36,2004,1,
M0020,,Australia,Cameby Downs Coal Mine,,,,https://www.gem.wiki/Cameby_Downs_mine,,Operating,,,,Syntech Resources [100%],E100000132258 [100%],,Shandong Energy,China,2.7,3.66,2024,,Surface,Open Pit,79.11,60.0,Estimate,180,Exact,Bituminous,Thermal,,,,,85.0,,,23.0,2010,,,,,Dalby,,Queensland,Australia and New Zealand,Oceania,-26.6181915,150.3548193,Exact,,,,,,,,,,,19.2,0.013,3.5,1.5,1.1,0.4,36,2019,0,
M0021,,Australia,CapCoal Mine Complex,"Lake Lindsay, Oak Park, German Creek East, Aquila",,,https://www.gem.wiki/Capcoal_Mining_Complex,,Operating,,,,Capcoal [100%],E100001000775 [100%],,Anglo American [70%]; Mitsui Holdings [30%],"Australia, UK, Japan",6,9.034,2024,,Underground & Surface,Mixed,340,60.0,Estimate,500,Exact,Bituminous,Thermal & Met,0.65,0.35,Reported,2024.0,160.0,2021,270.0,18.0,1981,,,,Bowen,Middlemount,,Queensland,Australia and New Zealand,Oceania,-22.990997,148.580506,Exact,,,,,,957.146,2023,,Yes,Yes,47.4,0.032,3.5,1.5,2.6,0.9,36,2019,0,
M0022,,Australia,Carborough Downs Coal Mine,,,,https://www.gem.wiki/Carborough_Downs_mine,,Operating,,,,Fitzroy Australia Resources Pty Ltd [100%],E100001010416 [100%],,AMC [50%]I; Riverstone Holdings [50%],USA,,2.055,2024,,Underground,Mixed,,500.0,Estimate,340,Exact,Bituminous,Thermal & Met,0.66,0.34,Reported,2024.0,43.0,2023,284.0,21.0,2006,,10,,,Moranbah,,Queensland,Australia and New Zealand,Oceania,-21.9502,148.2094,Exact,,,,,,989.978,2023,,,Yes,45.4,0.03,13.8,1.6,2.5,0.9,36,2019,0,
M0022,,Australia,Carborough Downs Coal Mine,,,,https://www.gem.wiki/Carborough_Downs_mine,,Proposed,Permitted,Extension,,Fitzroy Australia Resources Pty Ltd [100%],E100001010416 [100%],,AMC [50%]I; Riverstone Holdings [50%],USA,2,,,,Underground,Mixed,,60.0,Estimate,,,Bituminous,Thermal & Met,,,,,,2023,,,,,11,,,Moranbah,,Queensland,Australia and New Zealand,Oceania,-21.9502,148.2094,Exact,,,,,,,,,,,12.6,0.008,3.5,1.6,0.7,0.3,36,2004,1,
M0023,,Australia,Carmichael Coal Project,,,,https://www.gem.wiki/Carmichael_Coal_Project,,Operating,,,Stage 1,Bravus Mining and Resources [100%],E100002009424 [100%],,Adani Group,India,6,14.074,2024,,Underground & Surface,Mixed,447,300.0,Exact,1464,Exact,Subbituminous,Thermal,,,,,880.0,2022,,63.0,2021,,60,,Galilee,Clermont,,Queensland,Australia and New Zealand,Oceania,-22.073611,146.329722,Approximate,Terminal (Export),Abbot Point Coal Terminal; Moray power station,https://www.gem.wiki/Abbot_Point_Coal_Terminal; https://www.gem.wiki/Moray_power_station,,,423.006,2023,,,,74.3,0.05,3.3,1.6,4.1,1.5,36,2019,0,
M0023,,Australia,Carmichael Coal Project,,,,https://www.gem.wiki/Carmichael_Coal_Project,,Proposed,Permitted,Expansion,Stage 3,Bravus Mining and Resources [100%],E100002009424 [100%],,Adani Group,India,10,,,,Underground & Surface,Mixed,,60.0,Estimate,,,Subbituminous,Thermal,,,,,,2022,10140.0,,,,60,,Galilee,Clermont,,Queensland,Australia and New Zealand,Oceania,-22.073611,146.329722,Approximate,Terminal (Export),Abbot Point Coal Terminal; Moray power station,https://www.gem.wiki/Abbot_Point_Coal_Terminal; https://www.gem.wiki/Moray_power_station,,,,,,,,13.5,0.009,0.9,1.5,0.7,0.3,36,2004,1,
M0023,,Australia,Carmichael Coal Project,,,,https://www.gem.wiki/Carmichael_Coal_Project,,Proposed,Permitted,Expansion,Stage 2,Bravus Mining and Resources [100%],E100002009424 [100%],,Adani Group,India,8,,,,Underground & Surface,Mixed,,400.0,Exact,,,Subbituminous,Thermal,,,,,,2022,,,,,60,,Galilee,Clermont,,Queensland,Australia and New Zealand,Oceania,-22.073611,146.329722,Approximate,Terminal (Export),Abbot Point Coal Terminal; Moray power station,https://www.gem.wiki/Abbot_Point_Coal_Terminal; https://www.gem.wiki/Moray_power_station,,,,,,,,51.2,0.034,4.0,1.6,2.8,1.0,36,2004,1,
M0024,,Australia,Caval Ridge Coal Mine,,,,https://www.gem.wiki/Caval_Ridge_Project,,Operating,,,,BHP Billiton Mitsubishi Alliance Pty Ltd [100%],E100001000762 [100%],,BHP [50%]; Mitsubishi Corporation [50%],Australia,6,13.001,2024,,Surface,Open Pit,14,60.0,Estimate,553,Estimate,Bituminous,Met,,,,,290.0,2024,666.0,22.0,2014,,,,Bowen,Moranbah,,Queensland,Australia and New Zealand,Oceania,-22.1056069,148.0475444,Exact,Terminal (Export),Hay Point Coal Terminal,https://www.gem.wiki/Hay_Point_Coal_Terminal,,,314.28,2023,,,,68.3,0.046,3.5,1.5,3.8,1.4,36,2019,0,
M0024,,Australia,Caval Ridge Coal Mine,Horse Pit Extension,,,https://www.gem.wiki/Caval_Ridge_Project,,Proposed,Permitted,Extension,,BHP Billiton Mitsubishi Alliance Pty Ltd [100%],E100001000762 [100%],,BHP [50%]; Mitsubishi Corporation [50%],Australia,8,,,,Surface,Open Pit,,60.0,Estimate,1500,Exact,Bituminous,Met,,,,,,2024,,,2025,2056.0,,,Bowen,Moranbah,,Queensland,Australia and New Zealand,Oceania,-22.1056069,148.0475444,Exact,Terminal (Export),Hay Point Coal Terminal,https://www.gem.wiki/Hay_Point_Coal_Terminal,,,,,,,,42.0,0.028,3.5,1.5,2.3,0.8,36,2019,0,
M0025,,Australia,Central Queensland Coal Mine,Styx,,,https://www.gem.wiki/Central_Queensland_Coal_Project,,Cancelled,Pre-Permit,New,,Central Queensland Coal Pty Ltd [100%],E100001010260 [100%],,Mineralogy,Australia,1.6,,,,Surface,Open Pit,,60.0,Estimate,500,Exact,Bituminous,Thermal & Met,,,,,,,206.0,,2027,,,,Styx,Marlborough,,Queensland,Australia and New Zealand,Oceania,-22.679446,149.659662,Exact,Terminal (Export),Dalrymple Bay Coal Terminal,https://www.gem.wiki/Dalrymple_Bay_Coal_Terminal,,,,,,,,8.4,0.006,3.5,1.5,0.5,0.2,36,2004,0,
M0026,,Australia,Clarence Colliery,,,,https://www.gem.wiki/Clarence_colliery,,Operating,,,,Centennial Coal - Clarence Joint Venture [100%],E100000132387 [100%],,Banpu [85%]; SK Energy [15%],"Thailand, South Korea",,0.93,2023,,Underground,,,500.0,Estimate,255,Exact,Bituminous,Thermal,,,,,28.0,2023,155.0,30.0,1979,,7,,,Lithgow,,New South Wales,Australia and New Zealand,Oceania,-33.4597,150.2479,Exact,Terminal (Export),Port Kembal,,,,,,,,,20.5,0.014,13.8,1.6,1.1,0.4,36,2018,0,
M0027,,Australia,Clermont Coal Mine,,,,https://www.gem.wiki/Clermont_mine,,Operating,,,,Clermont Coal Operations Pty Limited [100%],E100001013230 [100%],,Glencore PLC [37.00%]; Sumitomo Corp [37.00%]; J-POWER Co Ltd [22.00%]; J.C.D. Australia [4.00%],"Switzerland, Japan",,11.512,2024,,Surface,Open Pit,163.07,60.0,Estimate,640,Exact,Bituminous,Thermal,,,,,56.0,2022,63.0,5.0,2010,,5,,Bowen,Clermont,,Queensland,Australia and New Zealand,Oceania,-22.7201075,147.6195648,Exact,Terminal (Export),Dalrymple Bay Coal Terminal,https://www.gem.wiki/Dalrymple_Bay_Coal_Terminal,,,362.736,2023,,,,60.4,0.04,3.5,1.5,3.3,1.2,36,2019,0,
M0028,,Australia,Collinsville Coal Mine,"McNaughton, Wollombi",,,https://www.gem.wiki/Collinsville_Coal_mine,,Operating,,,,NC Coal Company Pty Ltd [100%],E100001000810 [100%],,Glencore,Switzerland,4,4.142,2024,,Surface,Open Pit,54.55,60.0,Estimate,380,Exact,Bituminous,Thermal & Met,0.17,0.83,Reported,2024.0,25.0,2022,630.0,6.0,1919,,,,,Collinsville,,Queensland,Australia and New Zealand,Oceania,-20.5567302,147.8148229,Exact,,,,,,144.754,2023,,,,21.7,0.015,3.5,1.5,1.2,0.4,36,2019,0,
M0029,,Australia,Commodore Coal Mine,Milmerran,,,https://www.gem.wiki/Commodore_mine,,Operating,,,,Downer EDI [100%],E100000140514 [100%],,InterGen NV,Netherlands,2.8,3.278,2024,,Surface,Open Pit,23.16,60.0,Estimate,384,Estimate,Bituminous,Thermal,,,,,177.0,,,54.0,2002,2037.0,,,,Millmerran,,Queensland,Australia and New Zealand,Oceania,-27.9343501,151.2554422,Exact,Coal Plant,Millmerran power station,https://www.gem.wiki/Millmerran_power_station,,,,,,,,17.2,0.012,3.5,1.5,1.0,0.3,36,2019,0,
M0029,,Australia,Commodore Coal Mine,,,,https://www.gem.wiki/Commodore_mine,,Proposed,Pre-Permit,Expansion,,Downer EDI [100%],E100000140514 [100%],,InterGen NV,Netherlands,0.4,,,,Surface,Open Pit,,60.0,Estimate,388,Estimate,Bituminous,Thermal,,,,,,,,,,,,,,Millmerran,,Queensland,Australia and New Zealand,Oceania,-27.9343501,151.2554422,Exact,Coal Plant,Millmerran power station,https://www.gem.wiki/Millmerran_power_station,,,,,,,,2.1,0.001,3.5,1.5,0.1,0.0,36,2004,1,
M0030,,Australia,Cows Coal Mine,,,,https://www.gem.wiki/Cows_coal_mine,,Mothballed,,,,QCoal [100%],E100000132087 [100%],,QCoal,Australia,0.9,,,,Surface,Open Pit,,60.0,Estimate,20,Exact,Bituminous,Thermal & Met,,,,,,,,,2013,,,,Bowen,Colinsville,,Queensland,Australia and New Zealand,Oceania,-20.63668673,147.85009,Exact,Terminal (Export),North Queensland Export Terminal,https://www.gem.wiki/North_Queensland_Export_Terminal,,,,,,,,4.7,0.003,3.5,1.5,0.3,0.1,36,2004,0,
M0031,,Australia,Curragh Coal Mine,Curragh North Underground Project,,,https://www.gem.wiki/Curragh_Mine,,Proposed,Pre-Permit,Extension,Stage 3,Coronado Global Resources Inc [100%],E100001000488 [100%],,Coronado Global Resources,"Australia, USA",,,,,Underground,Longwall,,500.0,Estimate,,,Bituminous,Thermal,,,,,,,,,,,,,,,,Queensland,Australia and New Zealand,Oceania,-23.493219,148.842723,Exact,,,,,,,,,,,,,13.8,1.6,,,36,2004,1,
M0031,,Australia,Curragh Coal Mine,"Curragh Main, Curragh North",,Curragh Mine Complex,https://www.gem.wiki/Curragh_Mine,,Operating,,,Stage 1,Coronado Global Resources Inc [100%],E100001000488 [100%],,Coronado Global Resources,"Australia, USA",7.2,12.851,2024,,Surface,Open Pit,197,60.0,Estimate,611,Estimate,Bituminous,Thermal & Met,0.54,0.46,Reported,2024.0,249.0,,654.0,19.0,1983,,,,Bowen,Blackwater,,Queensland,Australia and New Zealand,Oceania,-23.493219,148.842723,Exact,Coal Plant,Stanwell power station,https://www.gem.wiki/Stanwell_power_station,,,1142.69,2023,,,,67.5,0.045,3.5,1.5,3.7,1.3,36,2019,0,
M0032,,Australia,Daunia Coal Mine,,,,https://www.gem.wiki/Daunia_coal_project,,Operating,,,,Whitehaven Coal Ltd [100%],E100001010381 [100%],,Whitehaven Coal [100%],Australia,,4.747,2024,,Surface,Open Pit,,60.0,Estimate,450,Exact,Bituminous,Thermal & Met,0.85,0.15,Reported,2024.0,76.0,2024,109.0,16.0,2013,2040.0,30,,Bowen,Coppabella,,Queensland,Australia and New Zealand,Oceania,-22.0410919,148.2702015,Exact,,,,,,208.116,2023,,,,24.9,0.017,3.5,1.5,1.4,0.5,36,2019,0,
M0033,,Australia,Dawson Complex,"Dawson North, Dawson South, Dawson Central, Moura",,,https://www.gem.wiki/Dawson_mine,,Operating,,,,Dawson Joint Venture [100%],E100001000778 [100%],,Anglo American [51%]; Mitsui Holdings [49%],"UK, USA",,8.786,2024,,Surface,Open Pit,308.75,60.0,Estimate,1300,Exact,Bituminous,Thermal & Met,0.53,0.47,Reported,2024.0,97.0,2022,815.0,11.0,1961,,14,,Bowen,Moura,,Queensland,Australia and New Zealand,Oceania,-24.6168211,150.0504833,Exact,Terminal (Export),Port of Gladstone,https://www.gem.wiki/Port_of_Gladstone,,,466.404,2023,,,Yes,46.1,0.031,3.5,1.5,2.5,0.9,36,2019,0,
M0034,,Australia,Dendrobium Coal Mine,,,,https://www.gem.wiki/Dendrobium_mine,,Operating,,,,Gear M Illawarra Met Coal Pty Ltd(GM-3) [100%],E100002010038 [100%],,Golden Energy and Resources Pte Ltd (GEAR); M Resources Pty Ltd,Australia,4,4.593,2023,,Underground,Longwall,,350.0,Exact,459,Estimate,Bituminous,Met,,,,,13.0,,428.0,3.0,2005,,10,,Southern,Wollongong,,New South Wales,Australia and New Zealand,Oceania,-34.419776,150.826135,Exact,Steel Plant,GFG Liberty Steel Australia Whyalla steel plant,https://www.gem.wiki/GFG_Liberty_Steel_Australia_Whyalla_steel_plant,,,232.076,2022,,,,86.7,0.058,11.8,1.6,4.8,1.7,36,2018,0,
