GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,Owner GEM Entity ID,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code,opening_year_final,_imputed_flag_year,reserves_initial_EJ
M0790,,Russia,Chernogorsky Coal Mine,Chernogorskaya,Черногорский разрез,,https://www.gem.wiki/Chernogorsky_coal_mine,,Operating,,,,SUEK-Khakassia LLC [100%],E100001000840 [100%],,Siberian Coal Energy Company JSC,Russia,,9,2024,,Surface,Open Pit,,50.0,Estimate,994,Estimate,Subbituminous,Thermal,,,,,126.0,2021,,14.0,1959,,,,Chernogorskiy,Chernogorsk,,Khakassia,Eastern Europe,Europe,53.757047,91.06635,Exact,Coal Plant,Novosibirsk-4 power station,https://www.gem.wiki/Novosibirsk-4_power_station,,,,,,,,10.8,0.007,0.8,1.5,0.6,0.2,643,2019,0,
M0790,,Russia,Chernogorsky Coal Mine,Chernogorskaya,Черногорский разрез,,https://www.gem.wiki/Chernogorsky_coal_mine,,Proposed,Permitted,Expansion,,SUEK-Khakassia LLC [100%],E100001000840 [100%],,Siberian Coal Energy Company JSC,Russia,2.5,,,,Surface,Open Pit,,50.0,Estimate,1095,Estimate,Subbituminous,Thermal,,,,,,2021,,,,,,,,Chernogorsk,,Khakassia,Eastern Europe,Europe,53.757047,91.06635,Exact,,,,,,,,,,,3.0,0.002,0.8,1.5,0.2,0.1,643,2004,1,
M0791,,Russia,Denisovsky Central Coal Mine,Denisovskaya,шахта Денисовская,,https://www.gem.wiki/Denisovskaya_Central_Coal_Mine,,Operating,,,,GOK Denisovsky JSC [100%],E100001010380 [100%],,Kolmar LLC,Russia,2.2,1,2023,,Underground,Bord and Pillar,,200.0,Exact,366,Estimate,Bituminous,Met,,,,,32.0,,,32.0,2009,2031.0,,,,Neryungri,Neryungrinsky,Sakha,Eastern Europe,Europe,56.768907,124.847431,Exact,Terminal (Export),VaninoTransUgol coal terminal,https://www.gem.wiki/VaninoTransUgol_coal_terminal,,,,,,,,13.8,0.009,8.6,1.6,0.8,0.3,643,2018,0,
M0792,,Russia,Elegest Coal Mine,,Элегестское угольное месторождение,,https://www.gem.wiki/Elegest_coal_mine,,Shelved,Construction,New,,Tuva Energy Industrial Corporation JSC [100%],E100000132317 [100%],,Tuva Energy Industrial Corporation JSC,Russia,8,,,,Surface,Open Pit,84,60.0,Estimate,,,Bituminous,Met,,,,,855.0,,,107.0,2026,,,,Elegestsky,Ust-Elegest,Kyzylskiy,Tuva,Eastern Europe,Europe,51.565237,94.112646,Exact,Terminal (Export),,,,,,,,,,42.0,0.028,3.5,1.5,2.3,0.8,643,2004,0,
M0794,,Russia,Elginskiy Coal Mine,Elginskoye,"Эльгинский угольный комплекс, Эльгинское",,https://www.gem.wiki/Elginskiy_Coal_Mine,,Operating,,,,Elgaugol LLC [100%],E100001000756 [100%],,A-Property LLC [70.0%]; others [10.0%]; Energogrupp LLC,Russia,,28,2024,,Surface,Open Pit,50,60.0,Estimate,1325,Estimate,Bituminous,Met,,,,,2200.0,,,79.0,2011,,,,,,Neryungrinsky,Sakha,Eastern Europe,Europe,56.192426,130.635752,Exact,Terminal (Export),Vanino Bulk Terminal,https://www.gem.wiki/Vanino_Bulk_Terminal,,,,,,,,147.0,0.098,3.5,1.5,8.1,2.9,643,2019,0,
M0794,,Russia,Elginskiy Coal Mine,Elginskoye,"Эльгинский угольный комплекс, Эльгинское",,https://www.gem.wiki/Elginskiy_Coal_Complex,,Proposed,Construction,Expansion,,Elgaugol LLC [100%],E100001000756 [100%],,A-Property LLC [70.0%]; others [10.0%]; Energogrupp LLC,Russia,8,,,,Surface,,,60.0,Estimate,1070,Estimate,Bituminous,Met,,,,,,,,,2026,,,,,Neryungri,Neryungrinsky,Sakha,Eastern Europe,Europe,56.192426,130.635752,Exact,Terminal (Export),Vanino Bulk Terminal,https://www.gem.wiki/Vanino_Bulk_Terminal,,,,,,,,42.0,0.028,3.5,1.5,2.3,0.8,643,2004,0,
M0795,,Russia,Erkovetskiy Coal Mine,,"Разрез Ерковецкий, Ерковецкий угольный разрез",,https://www.gem.wiki/Erkovetskiy_coal_mine,,Operating,,,,Amurugol JSC [100%],E100001010615 [100%],,Russian Coal JSC,Russia,2,2.3,2024,,Surface,Open Pit,,50.0,Estimate,546,Estimate,Lignite,Thermal,,,,,504.0,2021,3000.0,219.0,1991,,,,,Varvarovka,Oktyabrsky/Ivanovsky,Amur,Eastern Europe,Europe,50.316,128.447,Exact,Coal Plant,,,,,,,,,,2.8,0.002,0.8,1.5,0.2,0.1,643,2019,0,
M0795,,Russia,Erkovetskiy Coal Mine,,"Разрез Ерковецкий, Ерковецкий угольный разрез",,https://www.gem.wiki/Erkovetskiy_coal_mine,,Proposed,Announced,New,,Amurugol JSC [100%],E100001010615 [100%],,Russian Coal JSC,Russia,0.9,,,,Surface,Open Pit,,50.0,Estimate,,,Lignite,Thermal,,,,,,,,,2027,,,,,Varvarovka,Oktyabrsky/Ivanovsky,Amur,Eastern Europe,Europe,50.316,128.447,Exact,Coal Plant,,,,,,,,,,1.1,0.001,0.8,1.5,0.1,0.0,643,2004,0,
M0797,,Russia,Glushinsky Coal Mine,,участки Глушинского месторождения,,https://www.gem.wiki/Glushinsky_coal_mine,,Shelved,Permitted,New,,Holding Company SDS Ugol JSC [100%],E100001010020 [100%],,Holding Company Siberian Business Union CJSC,Russia,1.7,,,,Surface,Open Pit,,60.0,Estimate,,,Bituminous,Thermal,,,,,51.0,,,30.0,,,,,Glushinsky,Baranovka,Kemerovsky,Kemerovo,Eastern Europe,Europe,55.64000156,86.04249513,Approximate,,,,,,,,,,,8.9,0.006,3.5,1.5,0.5,0.2,643,2004,1,
M0798,,Russia,Inaglinsky Surface Coal Mine,"Inaglinsky North and Inaglinsky West, GOK Inaglinskiy",Участок открытых горных работ «Инаглинский»,,https://www.gem.wiki/Inaglinskiy_Surface_coal_mine,,Operating,,,,GOK Inaglinsky JSC [100%],E100001010379 [100%],,Kolmar LLC,Russia,,0.96,2023,,Surface,Open Pit,,60.0,Estimate,301,Estimate,Bituminous,Met,,,,,9.0,,44.0,9.0,2016,,,,,Neryungri,Neryungrinsky,Sakha,Eastern Europe,Europe,56.943611,124.750556,Exact,Terminal (Export),VaninoTransUgol coal terminal,https://www.gem.wiki/VaninoTransUgol_coal_terminal,,,,,,,,5.0,0.003,3.5,1.5,0.3,0.1,643,2018,0,
