Year,China,India,Indonesia,United States,Australia,Afghanistan,Albania,Algeria,Argentina,Austria,Bangladesh,Belgium,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Canada,Chile,Colombia,Czechia,Czechoslovakia,Democratic Republic of Congo,Denmark,Eswatini,France,Georgia,Germany,Greece,Hungary,Iran,Ireland,Italy,Japan,Kazakhstan,Kosovo,Kyrgyzstan,Laos,Malaysia,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Netherlands,New Zealand,Niger,Nigeria,North Korea,North Macedonia,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Taiwan,Tajikistan,Tanzania,Thailand,Turkey,USSR,Ukraine,United Kingdom,Uzbekistan,Venezuela,Vietnam,World,Yugoslavia,Zambia,Zimbabwe
1996,29.24,5.97,1.24,22.84,5.91,0,0,0,0.01,0.01,0,0,0.03,0.02,0.08,0.23,1.83,0.02,0.85,1.15,,0,0,0,0.22,0,3.1,0.3,0.16,0.03,0,0,0.15,1.39,,0.01,0,0,0.19,0,0.1,,0.02,0,0,0,0.1,0,0,0.56,0.05,0.01,0.07,0,0.03,3.83,0,0.34,5.06,0.4,0.04,0.06,4.9,0.09,0.4,0,0,0,0,0.27,0.51,,1.35,1.3,0.03,0.13,0.23,95.4,,0.01,0.14
1997,29.05,6.17,1.35,23.36,6.44,0,0,0,0.01,0.01,0,0,0.08,0.02,0.09,0.21,1.9,0.02,0.95,1.17,,0,0,0.01,0.18,0,2.97,0.32,0.17,0.03,0,0.01,0.1,1.32,,0.01,0,0,0.19,0,0.09,,0.01,0,0,0,0.09,0,0,0.55,0.04,0.01,0.06,0,0.03,3.89,0,0.28,4.86,0.4,0.04,0.06,5.22,0.09,0.4,0,0,0,0,0.29,0.55,,1.41,1.27,0.03,0.16,0.27,96.8,,0.01,0.14
1998,27.88,6.13,1.54,24.1,6.6,0,0,0,0.01,0.01,0,0,0.11,0.02,0.09,0.21,1.8,0.02,0.97,1.09,,0,0,0.01,0.15,0,2.72,0.34,0.15,0.04,0,0.01,0.09,1.27,,0.01,0,0.01,0.2,0,0.1,,0,0,0,0,0.08,0,0,0.5,0.05,0.01,0.06,0,0.03,3.36,0,0.22,4.56,0.41,0.04,0.06,5.28,0.08,0.39,0,0,0,0,0.25,0.58,,1.44,1.08,0.03,0.2,0.27,95.06,,0.01,0.15
1999,28.55,6,1.82,23.35,6.95,0,0,0,0.01,0.01,0,0,0.1,0.02,0.09,0.18,1.73,0.01,0.95,0.97,,0,0,0.01,0.13,0,2.65,0.34,0.14,0.03,0,0,0.09,1.06,,0.01,0,0.01,0.2,0,0.09,,0,0,0,0,0.09,0,0,0.57,0.05,0.01,0.06,0,0.03,3.25,0,0.19,4.93,0.31,0.04,0.05,5.29,0.08,0.36,0,0,0,0,0.24,0.56,,1.52,0.97,0.03,0.2,0.23,95.09,,0.01,0.13
2000,29.61,6.38,1.9,22.79,7.19,0,0,0,0.01,0.01,0,0,0.11,0.02,0.11,0.18,1.64,0.01,1.1,1.05,,0,0,0.01,0.09,0,2.54,0.34,0.14,0.03,0,0,0.07,1.36,,0.01,0,0.01,0.23,0,0.1,,0,0,0.01,0,0.09,0,0,0.6,0.05,0.02,0.06,0,0.03,3.01,0,0.23,5.09,0.35,0.04,0.05,5.3,0.08,0.35,0,0,0,0,0.22,0.52,,1.52,0.82,0.03,0.24,0.27,96.49,,0.01,0.12
2001,31.37,6.46,2.28,23.6,7.77,0,0,0,0,0.01,0,0,0.12,0.02,0.1,0.19,1.67,0.01,1.27,1.06,,0,0,0.01,0.06,0,2.44,0.35,0.13,0.03,0,0,0.07,1.43,,0.01,0,0.01,0.17,0,0.1,,0,0,0.01,0,0.1,0,0,0.62,0.05,0.05,0.06,0,0.03,3.02,0,0.24,5.38,0.34,0.04,0.05,5.29,0.07,0.33,0,0,0,0,0.24,0.51,,1.51,0.84,0.03,0.24,0.31,100.58,,0.01,0.12
2002,33.51,6.74,2.55,22.78,8.01,0,0,0,0,0.01,0,0,0.08,0.02,0.11,0.19,1.43,0.01,1.14,1.02,,0,0,0.01,0.04,0,2.45,0.36,0.12,0.03,0,0,0.03,1.33,,0.01,0,0.01,0.14,0,0.11,,0,0,0.01,0,0.12,0,0,0.59,0.05,0.06,0.07,0,0.04,3,0,0.26,5.13,0.36,0.04,0.06,5.21,0.06,0.32,0,0,0,0,0.24,0.48,,1.5,0.79,0.03,0.25,0.38,101.79,,0.01,0.11
2003,39.58,7.04,2.82,22.14,8.28,0,0,0,0,0.01,0,0,0.08,0.02,0.1,0.19,1.33,0.01,1.45,1.02,,0,0,0.01,0.05,0,2.42,0.34,0.13,0.03,0,0.01,0.03,1.53,,0.01,0.01,0,0.18,0,0.11,,0,0,0.02,0,0.14,0,0,0.6,0.05,0.09,0.06,0,0.05,2.99,0,0.27,5.55,0.38,0.03,0.06,5.64,0.06,0.3,0,0,0,0,0.22,0.45,,1.46,0.74,0.02,0.21,0.45,109.26,,0.01,0.08
2004,46.35,7.6,3.27,22.9,8.6,0,0,0,0,0,0,0,0.09,0.02,0.11,0.19,1.42,0,1.56,0.98,,0,0,0.01,0,0,2.45,0.36,0.1,0.04,0,0,0.03,1.57,,0.01,0.01,0.01,0.25,0,0.13,,0,0,0.01,0,0.14,0.01,0,0.61,0.05,0.09,0.06,0,0.06,2.9,0,0.26,5.74,0.39,0.03,0.06,5.74,0.06,0.29,0,0,0,0,0.23,0.44,,1.45,0.62,0.03,0.25,0.64,118.7,,0.01,0.1
2005,51.99,7.95,3.77,23.24,9,0,0,0,0,0,0,0,0.09,0.02,0.12,0.17,1.48,0.01,1.72,0.99,,0,0,0.01,0,0,2.37,0.36,0.07,0.04,0,0,0.02,1.56,,0.01,0.01,0.02,0.25,0,0.14,,0,0,0.01,0,0.14,0,0,0.64,0.04,0.04,0.07,0,0.07,2.9,0,0.24,5.68,0.34,0.03,0.05,5.79,0.05,0.28,0,0,0,0,0.25,0.47,,1.45,0.51,0.04,0.22,0.8,126.17,,0,0.09
2006,55.62,8.29,4.71,23.84,9.2,0,0,0,0,0,0.01,0,0.09,0.02,0.12,0.18,1.46,0.01,1.9,1,,0,0,0.01,0,0,2.23,0.34,0.07,0.05,0,0,0.03,1.73,,0.01,0.01,0.02,0.28,0,0.15,0.01,0,0,0.02,0,0.15,0,0,0.66,0.04,0.07,0.08,0,0.06,2.85,0,0.27,5.9,0.31,0.02,0.05,5.79,0.05,0.26,0,0,0,0,0.22,0.55,,1.48,0.45,0.04,0.22,0.91,132.54,,0,0.06
2007,60.26,8.81,5.3,23.55,9.51,0.01,0,0,0,0,0.01,0,0.09,0.02,0.12,0.2,1.49,0,2.01,1,,0,0,0.01,0,0,2.28,0.35,0.07,0.05,0,0,0.03,1.77,,0.01,0.01,0.02,0.31,0,0.18,0.01,0,0,0.02,0,0.12,0,0,0.64,0.04,0.12,0.07,0,0.09,2.62,0,0.29,6.01,0.3,0.02,0.05,5.79,0.06,0.25,0,0,0,0,0.21,0.62,,1.46,0.43,0.04,0.21,1,138.39,,0,0.06
2008,62.46,9.53,5.92,23.91,9.79,0.01,0,0,0,0,0.01,0,0.1,0.02,0.14,0.2,1.49,0.01,2.11,0.95,,0,0,0,0,0,2.1,0.34,0.07,0.05,0,0,0.03,2.01,0.06,0.01,0.01,0.03,0.29,0,0.19,0.02,0,0,0.01,0,0.13,0,0,0.67,0.05,0.1,0.07,0,0.09,2.55,0,0.29,6.24,0.31,0.03,0.05,5.9,0.05,0.18,0,0,0,0,0.2,0.7,,1.45,0.45,0.04,0.15,0.93,142.94,,0,0.04
2009,64.39,10.29,6.2,21.67,10.16,0.01,0,0,0,0,0.02,0,0.1,0.02,0.13,0.19,1.39,0.01,2.09,0.87,,0,0,0,0,0,1.94,0.34,0.07,0.03,0,0,0.03,1.82,0.07,0.01,0.01,0.05,0.25,0,0.28,0.01,0,0,0.01,0,0.12,0,0,0.68,0.05,0.08,0.07,0,0.12,2.36,0,0.27,5.93,0.31,0.03,0.05,5.85,0.05,0.16,0,0,0,0,0.2,0.73,,1.35,0.44,0.04,0.1,1.03,142.73,,0,0.05
2010,69.72,10.57,6.33,22.09,10.49,0.02,0,0,0,0,0.02,0,0.1,0.02,0.11,0.21,1.48,0.01,2.14,0.87,,0,0,0,0,0,1.92,0.31,0.07,0.03,0,0,0.02,1.99,0.07,0.01,0.01,0.05,0.31,0,0.48,0.02,0,0,0.01,0,0.14,0.01,0,0.86,0.04,0.06,0.06,0.01,0.17,2.32,0,0.25,6.32,0.3,0.03,0.05,6.03,0.04,0.14,0,0,0,0,0.21,0.73,,1.35,0.45,0.04,0.08,1.05,150.39,,0,0.07
2011,77.53,10.49,7.93,22.27,10.26,0.03,0,0,0,0,0.01,0,0.11,0.02,0.11,0.26,1.48,0.01,2.47,0.88,,0,0,0,0,0,1.96,0.31,0.07,0.03,0,0,0.03,2.08,0.07,0.01,0.01,0.07,0.39,0,0.63,0.02,0,0.02,0.01,0,0.13,0.01,0,0.81,0.05,0.04,0.06,0.01,0.18,2.33,0,0.28,6.6,0.33,0.03,0.05,6,0.04,0.11,0,0,0.01,0,0.25,0.75,,1.52,0.46,0.05,0.08,1.09,161.06,,0,0.07
2012,78.44,10.68,8.56,20.72,11.13,0.03,0,0,0,0,0.02,0,0.11,0.03,0.12,0.23,1.49,0.01,2.58,0.85,,0,0,0,0,0,2,0.34,0.07,0.03,0,0,0.03,2.16,0.07,0.02,0.02,0.07,0.31,0,0.59,0.02,0,0.13,0.02,0,0.13,0.01,0,0.81,0.05,0.04,0.06,0.01,0.19,2.42,0,0.27,7.05,0.31,0.03,0.05,6.14,0.04,0.1,0,0,0.01,0,0.2,0.71,,1.64,0.42,0.04,0.06,0.99,162.75,,0,0.04
2013,79.32,10.71,10.44,20.05,11.97,0.03,0,0,0,0,0.02,0,0.1,0.04,0.15,0.2,1.53,0.06,2.47,0.74,,0,0,0.01,0,0.01,1.89,0.28,0.07,0.03,0,0,0.03,2.15,0.07,0.02,0.02,0.07,0.3,0,0.64,0.02,0,0.18,0.01,0,0.12,0.01,0,0.8,0.04,0.05,0.06,0.01,0.17,2.39,0,0.19,7.25,0.32,0.03,0.05,6.08,0.03,0.07,0,0,0.01,0,0.2,0.65,,1.6,0.32,0.05,0.04,0.96,165.37,,0,0.08
2014,78.05,11.28,10.15,20.33,12.81,0.03,0,0,0,0,0.02,0,0.1,0.04,0.15,0.21,1.51,0.08,2.57,0.71,,0,0,0,0,0.01,1.85,0.27,0.07,0.03,0,0,0.03,2.09,0.06,0.03,0.02,0.06,0.3,0,0.47,0.02,0,0.2,0.01,0,0.1,0.01,0,0.82,0.04,0.05,0.06,0.01,0.2,2.26,0,0.19,7.39,0.24,0.03,0.04,6.2,0.03,0.07,0,0,0.02,0.01,0.19,0.68,,1.09,0.29,0.05,0.02,0.96,164.96,,0,0.16
2015,76.59,11.77,10.19,17.99,12.8,0.03,0,0,0,0,0.01,0,0.09,0.05,0.12,0.25,1.36,0.06,2.49,0.71,,0,0,0,0,0.01,1.79,0.24,0.06,0.04,0,0,0.03,1.65,0.07,0.03,0.07,0.06,0.29,0,0.46,0.02,0,0.19,0.01,0,0.09,0.01,0,0.74,0.04,0.03,0.06,0.01,0.19,2.22,0,0.2,7.8,0.3,0.02,0.04,5.96,0.03,0.05,0,0,0.02,0.01,0.16,0.54,,0.72,0.21,0.04,0.02,0.98,160.37,,0,0.12
2016,70.82,11.89,9.87,14.7,12.83,0.04,0,0,0,0,0.02,0,0.1,0.04,0.11,0.21,1.37,0.05,2.62,0.67,,0,0,0,0,0.01,1.66,0.17,0.06,0.04,0,0,0.03,1.53,0.07,0.03,0.07,0.05,0.25,0,0.67,0.01,0,0.18,0.01,0,0.07,0.01,0,0.84,0.03,0.02,0.08,0.01,0.28,2.18,0,0.18,8.12,0.3,0.02,0.04,6.01,0.03,0.03,0,0,0.03,0.01,0.18,0.65,,0.76,0.11,0.05,0.02,0.91,151.58,,0,0.07
2017,73.17,11.99,9.69,15.66,12.5,,,,,,,,,,0.09,0.24,1.33,,2.63,0.64,,,,,,,1.65,0.19,0.05,,,,0.03,1.67,,,,,0.31,,0.94,,,,,,0.07,,,,,,0.08,,,2.08,,0.19,8.62,0.3,,,5.97,0.03,0.05,,,,,0.17,0.63,,0.57,0.08,0.05,0.02,0.9,155.01,,,0.08
2018,76.87,12.8,11.44,15.4,13.1,,,,,,,,,,0.1,0.22,1.22,,2.48,0.62,,,,,,,1.58,0.18,0.05,,,,0.02,1.76,,,,,0.28,,1.04,,,,,,0.08,,,,,,0.08,,,1.98,,0.17,9.23,0.28,,,6.01,0.02,0.04,,,,,0.16,0.69,,0.61,0.08,0.05,0.02,0.99,162.3,,,0.09
2019,79.76,12.6,12.84,14.29,13.18,,,,,,,,,,0.09,0.2,1.2,,2.46,0.56,,,,,,,1.19,0.13,0.04,,,,0.02,1.7,,,,,0.23,,1.09,,,,,,0.07,,,,,,0.13,,,1.87,,0.16,9.23,0.29,,,6.02,0.02,0,,,,,0.15,0.73,,0.6,0.07,0.05,0.01,1.09,163.95,,,0.07
2020,80.51,12.59,11.78,10.73,12.14,,,,,,,,,,0.1,0.16,1.15,,1.54,0.43,,,,,,,0.98,0.07,0.04,,,,0.02,1.75,,,,,0.19,,0.82,,,,,,0.07,,,,,,0.18,,,1.68,,0.11,8.42,0.3,,,5.83,0.02,0,,,,,0.14,0.66,,0.53,0.05,0.05,0.01,1.05,156.22,,,0.07
2021,83.44,13.38,12.68,11.62,11.89,,,,,,,,,,0.12,0.2,1.21,,1.7,0.44,,,,,,,1.15,0.06,0.03,,,,0.02,1.78,,,,,0.14,,0.62,,,,,,0.07,,,,,,0.19,,,1.76,,0.13,9.25,0.26,,,5.44,0.02,0,,,,,0.15,0.75,,0.54,0.03,0.06,0.01,1.13,162.5,,,0.09
2022,92.22,15.02,13.95,12.07,11.46,,,,,,,,,,0.11,0.25,1.18,,1.65,0.48,,,,,,,1.21,0.07,0.03,,,,0.02,1.81,,,,,0.14,,0.75,,,,,,0.07,,,,,,0.19,,,1.7,,0.13,9.35,0.25,,,5.35,0.02,0,,,,,0.14,0.83,,0.36,0.02,0.06,0,1.17,174.56,,,0.11
