Year,Oil_discoveries_backdated,Oil_production_backdated,Oil_reserves_backdated,Oil_Discoveries,Oil_Production,Oil_Reserves,Gas_Discoveries,Gas_Production,Gas_Reserves,Coal_Discoveries,Coal_Production,Coal_Reserves
1900,,,,2.406758041190339,0.85,1.556758041190339,0.16426253852421716,0.265825512,-0.10156297347578283,3.1059717652194845,19.26,-16.15402823478052
1901,29.97845,1.5373829999999997,28.441067,2.750992698103509,1.7999999999999998,0.9509926981035091,0.19523430986369933,0.560406542,-0.3651722321363006,3.4240828268603836,38.870000000000005,-35.44591717313962
1902,37.6652186793,2.3322502953999997,35.332968383899996,3.1437537922866183,2.83,0.31375379228661826,0.23192703381236807,0.883743076,-0.651816042187632,3.774297650525653,58.95,-55.17570234947435
1903,39.202572417599995,3.1271175908,36.0754548268,3.5917338619803507,3.93,-0.33826613801964944,0.2753688405040615,1.235835118,-0.9604662774959385,4.159791150440647,80.86,-76.70020884955935
1904,53.0387560379,3.9180784279000003,49.12067761,4.1025177207157,5.16,-1.0574822792843,0.3267658363898632,1.616682664,-1.289916827610137,4.584043445558027,102.89,-98.30595655444198
1905,66.87493964599999,4.7129457233,62.161993922699985,4.684695101456794,6.37,-1.6853048985432064,0.38753132816326724,2.026285714,-1.6387543858367328,5.050868024610603,126.64,-121.58913197538939
1906,70.71832400699999,5.507813018699999,65.21051098829999,5.34798623178326,7.58,-2.2320137682167402,0.45931948225870084,2.464644272,-2.0053247897412994,5.564442354822032,151.72,-146.15555764517796
1907,74.56170830699999,6.3795389172,68.1821693898,6.103381561352472,9.07,-2.9666184386475285,0.5440640115017537,2.9317583120000004,-2.3876943004982465,6.129341125875608,179.46,-173.3306588741244
1908,78.405092668,8.2543210973,70.15077157069999,6.963296923192347,10.68,-3.7167030768076526,0.6440225412235289,3.4276278920000003,-2.7836053507764715,6.750572333085113,205.82,-199.0694276669149
1909,89.93524569,10.2184322813,79.7168134087,7.94174546077777,12.379999999999999,-4.438254539222229,0.7618273699956258,3.9522529760000005,-3.1904256060043745,7.433616416490122,233.37,-225.9363835835099
1910,107.61481365299998,12.169596196999999,95.44521745599998,9.054527689490754,14.229999999999999,-5.175472310509244,0.9005434040830061,4.519573376,-3.6190299719169943,8.184468685772872,262.39,-254.2055313142271
1911,123.75702783499999,14.133707380999999,109.623320454,10.319441079394313,16.18,-5.860558920605687,1.0637341084121688,5.117048564,-4.053314455587831,9.009685274414664,291.93,-282.92031472558534
1912,136.05585771699998,16.097818565,119.95803915199998,11.75651054091844,18.169999999999998,-6.413489459081559,1.255536378599576,5.74467854,-4.489142161400424,9.916432880315666,322.93,-313.01356711968435
1913,145.279980159,18.061929748999997,127.21805040999999,13.388241159879671,20.36,-6.971758840120328,1.4807452962420284,6.402463303999999,-4.9217180077579705,10.912542564117809,356.15,-345.23745743588216
1914,159.116163761,20.026040932999997,139.090122828,15.23989445616807,22.619999999999997,-7.380105543831927,1.7449097806218763,7.0904028199999996,-5.345493039378123,12.006567890605806,385.96,-373.95343210939416
1915,171.41499364299997,22.0226075818,149.39238606119997,17.33978932346756,25.04,-7.700210676532439,2.0544401910883243,7.808497124,-5.754056932911675,13.207847712711153,415.29999999999995,-402.0921522872888
1916,189.86323846599998,24.967555742499997,164.8956827235,19.71962863666625,27.64,-7.92037136333375,2.4167289619432344,8.556746252,-6.1400172900567656,14.526573911681126,446.77,-432.24342608831887
1917,201.393391488,28.042448616399998,173.35094287159998,22.414852279460145,30.51,-8.095147720539856,2.8402853613999053,9.335150168,-6.494864806600095,15.973864420757549,479.53999999999996,-463.5661355792424
1918,211.00185235999996,31.117341490299996,179.88451086969997,25.465017036617926,33.36,-7.894982963382073,3.3348854532129475,10.143708872,-6.8088234187870516,17.561841873069238,511.72999999999996,-494.16815812693073
1919,227.91274346299997,34.1957368012,193.71700666179999,28.914203402454664,36.61,-7.6957965975453355,3.9117382984307025,10.982422364,-7.0706840655692975,19.303718227190178,539.03,-519.7262817728098
1920,248.66701886599998,38.1119369049,210.55508196109997,32.811448867942616,40.769999999999996,-7.95855113205738,4.583669359391992,11.851290643999999,-7.267621284608007,21.21388573573516,570.3199999999999,-549.1061142642648
1921,263.271879328,42.2457914746,221.0260878534,37.21120665229591,45.269999999999996,-8.05879334770409,5.365321952109885,12.750313676,-7.384991723890114,23.308014633215038,596.4499999999999,-573.1419853667849
1922,279.029755141,47.3672316889,231.6625234521,42.17382813002544,50.3,-8.126171869974556,6.273377429754789,13.710023816,-7.436646386245211,25.603157928883224,624.03,-598.4268420711168
1923,300.552707404,53.4113572383,247.14135016569998,47.76606636168414,56.239999999999995,-8.473933638315856,7.326794562104757,14.834471107999999,-7.507676545895242,28.117863698171664,656.15,-628.0321363018284
1924,311.314183566,59.5847464176,251.7294371484,54.06159715793276,62.169999999999995,-8.108402842067235,8.547068296683028,16.123655516,-7.576587219316972,30.872295272205456,687.43,-656.5577047277945
1925,331.29978217,65.758135603,265.54164656700004,61.14155298695239,68.39,-7.24844701304761,9.958507740331175,17.577577076,-7.619069335668826,33.888359728434175,718.79,-684.9016402715658
1926,434.30248244699993,72.05330736,362.2491750869999,69.09506377309853,74.77,-5.674936226901465,11.588532779381156,19.196235716,-7.6077029366188444,37.18984508622371,750.01,-712.8201549137763
1927,570.358288009,79.30909558799999,491.04919242100004,78.01979723334507,82.05,-4.030202766654924,13.467988257760778,20.979631544,-7.511643286239222,40.80256660888106,783.65,-742.8474333911189
1928,781.7444264,86.67399030699998,695.070436093,88.02248986691285,89.7,-1.6775101330871536,15.631474052311836,22.927764704,-7.296290651688166,44.75452260756536,816.6899999999999,-771.9354773924346
1929,820.1782700099999,94.879898004,725.2983720059999,99.21945806932071,98.27000000000001,0.9494580693206984,18.117688722527078,24.996346304,-6.878657581472922,49.07606013236891,851.8299999999999,-802.7539398676311
1930,941.6292151099999,103.22020755,838.40900756,111.73707711052455,106.45000000000002,5.287077110524535,20.969783669798016,27.164984648,-6.195200978201985,53.80005092099208,883.9399999999999,-830.1399490790079
1931,959.6931213199998,111.48108594600001,848.2120353739998,125.71221393344621,114.36000000000001,11.352213933446194,24.23572392445597,29.436671048,-5.200947123544029,58.962077955320076,912.26,-853.2979220446799
