Fuel,Year,D_obs_EJ,D_backdated_EJ,D_added_EJ,D_hat_EJ,Cum_D_hat_EJ,Production,Cum_Prod_EJ,Reserves_hat_EJ,Reserves_EI
Gas,1908,0.36,0.5681462376800999,1.4908702695046565e-21,0.5681462376800999,1158.6759364875702,0.0,0.0,1158.6759364875702,2552.0083289636846
Gas,1909,0.0,0.0,1.7367561689345796e-22,1.7367561689345796e-22,1158.6759364875702,0.0,0.0,1158.6759364875702,2552.0083289636846
Gas,1910,0.6302,0.9937630470069254,1.1451023111089554e-21,0.9937630470069254,1159.6696995345771,0.0,0.0,1159.6696995345771,2552.0083289636846
Gas,1911,0.1314474,0.20719154168348972,3.0155741647672926e-22,0.20719154168348972,1159.8768910762606,0.0,0.0,1159.8768910762606,2552.0083289636846
Gas,1912,10.401886,16.38861532066497,9.353137981290222e-21,16.38861532066497,1176.2655063969255,0.0,0.0,1176.2655063969255,2552.0083289636846
Gas,1913,0.2544265,0.40067945655760007,2.4064816594184313e-22,0.40067945655760007,1176.666185853483,0.0,0.0,1176.666185853483,2552.0083289636846
Gas,1914,1.1491534,1.8088874398123302,5.651259170871072e-22,1.8088874398123302,1178.4750732932953,0.0,0.0,1178.4750732932953,2552.0083289636846
Gas,1915,1.0615218,1.6701494316491694,4.125692552078937e-22,1.6701494316491694,1180.1452227249445,0.0,0.0,1180.1452227249445,2552.0083289636846
Gas,1916,5.3160773,8.359965193309812,1.5009192214774687e-21,8.359965193309812,1188.5051879182543,0.0,0.0,1188.5051879182543,2552.0083289636846
Gas,1917,1.3122158000000002,2.062523590012068,2.984958788580027e-22,2.062523590012068,1190.5677115082663,0.0,0.0,1190.5677115082663,2552.0083289636846
Gas,1918,0.33249838000000004,0.5223447054265526,5.954690668423116e-23,0.5223447054265526,1191.0900562136928,0.0,0.0,1191.0900562136928,2552.0083289636846
Gas,1919,0.1314474,0.20638921158565318,2.0264915265590495e-23,0.20638921158565318,1191.2964454252785,0.0,0.0,1191.2964454252785,2552.0083289636846
