Year,Oil_Discoveries_Fixed,Oil_Cumulative_Discoveries_Fixed,Oil_Production_Fixed,Oil_Cumulative_Production_Fixed,Oil_Reserves_Fixed,Gas_Discoveries_Fixed,Gas_Cumulative_Discoveries_Fixed,Gas_Production_Fixed,Gas_Cumulative_Production_Fixed,Gas_Reserves_Fixed,Coal_Discoveries_Fixed,Coal_Cumulative_Discoveries_Fixed,Coal_Production_Fixed,Coal_Cumulative_Production_Fixed,Coal_Reserves_Fixed,Oil_Discoveries,Oil_Cumulative_Discoveries,Oil_Production,Oil_Cumulative_Production,Oil_Reserves,Gas_Discoveries,Gas_Cumulative_Discoveries,Gas_Production,Gas_Cumulative_Production,Gas_Reserves,Coal_Discoveries,Coal_Cumulative_Discoveries,Coal_Production,Coal_Cumulative_Production,Coal_Reserves
1953,26.48158229672261,1358.8852328359194,0.0,0.0,1358.8852328359194,12.348561669008182,872.6016173856168,0.0,0.0,872.6016173856168,1486.5418308843418,12818.522397461484,42.92,1702.2200000000005,11116.302397461484,234.446444618,3761.3422612023,27.48,444.9000000000001,3316.4422612022995,4.259291449027344,172.92062400404936,10.390842,137.74571923999997,35.17490476404939,11.651484,478.7924368999999,42.92,1702.2200000000005,-1223.4275631000005
1954,5.659803195689849,1364.5450360316092,0.0,0.0,1364.5450360316092,10.089273598321954,882.6908909839387,0.0,0.0,882.6908909839387,1617.183447533621,14435.705844995104,42.37,1744.59,12691.115844995104,107.614761498,3868.9570227003,28.77,473.6700000000001,3395.2870227002995,2.5105858692659,175.43120987331525,10.89935316,148.64507239999998,26.78613747331528,19.6757,498.46813689999993,42.37,1744.59,-1246.1218631000002
1955,40.07500904832098,1404.6200450799302,0.0,0.0,1404.6200450799302,26.008321281966023,908.6992122659047,0.0,0.0,908.6992122659047,1769.8677656242985,16205.573610619402,46.04,1790.63,14414.9436106194,143.742574284,4012.6995969843,32.24,505.9100000000001,3506.7895969843,1.9874216296354748,177.41863150295072,11.8568268,160.50189919999997,16.91673230295075,51.52309999999999,549.9912368999999,46.04,1790.63,-1240.6387631000002
1956,792.8043900967383,2197.4244351766683,0.0,0.0,2197.4244351766683,88.19554647977074,996.8947587456756,0.0,0.0,996.8947587456756,1882.0340634476736,18087.60767406708,48.65,1839.28,16248.327674067075,169.87758776799998,4182.577184752299,35.09,541.0000000000001,3641.577184752299,25.63770072915908,203.0563322321098,12.85829928,173.36019847999998,29.69613375210983,46.50337,596.4946068999999,48.65,1839.28,-1242.7853931000004
1957,8.476359073673823,2205.900794250342,0.0,0.0,2205.900794250342,47.74371871235731,1044.6384774580329,0.0,0.0,1044.6384774580329,1992.472599687805,20080.08027375488,50.02,1889.3,18190.78027375488,241.36453648,4423.941721232299,36.97,577.9700000000001,3845.9717212322985,20.42659883875073,223.48293107086053,13.97057688,187.33077536,36.15215571086054,45.333,641.8276068999999,50.02,1889.3,-1247.4723931000003
1958,39.00403555331815,2244.9048298036605,0.0,0.0,2244.9048298036605,55.383302873837486,1100.0217803318703,0.0,0.0,1100.0217803318703,2139.697451188752,22219.777724943637,51.6,1940.9,20278.87772494363,322.075607573,4746.017328805298,37.9,615.8700000000001,4130.1473288052985,8.48342822657129,231.9663592974318,15.0265692,202.35734456,29.609014737431806,88.4569,730.2845068999999,51.6,1940.9,-1210.6154931
1959,54.95220961987737,2299.857039423538,0.0,0.0,2299.857039423538,145.95008188126934,1245.9718622131395,0.0,0.0,1245.9718622131395,2161.5484922199776,24381.32621716361,53.48,1994.38,22386.946217163608,149.123312304,4895.1406411092985,40.9,656.7700000000001,4238.370641109298,10.44847965165788,242.4148389490897,16.7748336,219.13217816,23.282660789089704,15.5957,745.8802068999998,53.48,1994.38,-1248.4997931000005
1960,34.966146103819945,2334.823185527358,0.0,0.0,2334.823185527358,32.308998732677665,1278.2808609458175,0.0,0.0,1278.2808609458175,2265.015061629212,26646.34127879282,55.71,2050.09,24596.25127879282,327.456345654,5222.596986763298,44.07,700.8400000000001,4521.756986763298,26.20037440559526,268.6152133546849,18.26036532,237.39254348,31.222669874684957,35.513400000000004,781.3936068999999,55.71,2050.09,-1268.6963931000005
1961,83.55752349419768,2418.3807090215555,0.0,0.0,2418.3807090215555,53.62847112235121,1331.9093320681686,0.0,0.0,1331.9093320681686,2313.1336113942366,28959.47489018706,52.49,2102.58,26856.89489018706,283.257425716,5505.854412479299,46.91,747.7500000000001,4758.104412479299,8.739711015278239,277.3549243699632,19.61796456,257.01050804,20.344416329963224,12.85997,794.2535768999999,52.49,2102.58,-1308.3264231
1962,309.3423527786951,2727.7230618002504,0.0,0.0,2727.7230618002504,77.80438498238544,1409.713717050554,0.0,0.0,1409.713717050554,2368.147963497289,31327.62285368435,53.75,2156.33,29171.292853684343,279.798379846,5785.652792325299,50.88,798.6300000000001,4987.022792325299,22.704033162488336,300.0589575324516,21.46318056,278.4736886,21.585268932451527,11.2799,805.5334768999999,53.75,2156.33,-1350.7965231
1963,138.03095995194417,2865.7540217521946,0.0,0.0,2865.7540217521946,18.399889038802268,1428.1136060893564,0.0,0.0,1428.1136060893564,2406.167165925671,33733.790019610016,55.38,2211.71,31522.080019610017,172.95229520799998,5958.6050875332985,54.59,853.2200000000001,5105.385087533298,6.564396349724783,306.62335388217633,23.4846144,301.958303,4.665050882176331,8.024000000000001,813.5574768999999,55.38,2211.71,-1398.1525231
1964,203.70634384561023,3069.460365597805,0.0,0.0,3069.460365597805,25.814605830482048,1453.9282119198383,0.0,0.0,1453.9282119198383,2458.6487124391,36192.43873204912,57.83,2269.54,33922.898732049114,415.854185408,6374.459272941299,58.96,912.1800000000002,5462.279272941299,17.685272360381177,324.3086262425575,25.65938304,327.61768604,-3.309059797442501,35.394328,848.9518048999998,57.83,2269.54,-1420.5881951
1965,215.5336794272439,3284.9940450250488,71.00892677410705,71.00892677410705,3213.985118250942,239.6659194842812,1693.5941314041197,0.0,0.0,1693.5941314041197,2446.349286858506,38638.78801890762,58.97,2328.51,36310.27801890762,293.634563448,6668.093836389299,65.63,977.8100000000002,5690.283836389299,36.63034472162085,360.9389709641784,27.49854744,355.11623348,5.82273748417839,14.6662,863.6180048999998,58.97,2328.51,-1464.8919950999998
1966,889.8960085904517,4174.890053615501,77.19368665850719,148.20261343261424,4026.6874401828863,445.3190684784953,2138.913199882615,0.0,0.0,2138.913199882615,2454.8911844391,41093.67920334672,59.79,2388.3,38705.37920334672,149.123312304,6817.217148693299,71.27,1049.0800000000002,5768.137148693299,138.51837614941832,499.4573471135967,29.5885368,384.70477028,114.75257683359672,31.6368,895.2548048999998,59.79,2388.3,-1493.0451951
1967,1621.1048764674165,5795.994930082917,82.87301460814676,231.075628040761,5564.919302042155,221.99628978109573,2360.9094896637107,0.0,0.0,2360.9094896637107,2414.591965925671,43508.27116927239,57.67,2445.97,41062.30116927239,189.863186311,7007.0803350043,76.46,1125.5400000000002,5881.5403350043,189.3054373780141,688.7627844916108,31.842486,416.54725628,272.2155282116108,16.4488,911.7036048999998,57.67,2445.97,-1534.2663951
1968,429.6127518939275,6225.607681976844,90.27643497991257,321.35206302067354,5904.255618956171,166.85351025227342,2527.762999915984,0.0,0.0,2527.762999915984,2382.525363497288,45890.79653276968,59.27,2505.24,43385.55653276968,321.306930713,7328.3872657173,83.41,1208.9500000000005,6119.437265717299,44.49787333008141,733.2606578216921,34.8320628,451.37931908,281.8813387416921,25.6573,937.3609048999998,59.27,2505.24,-1567.8790951
