Year,Oil_discoveries_backdated,Oil_production_backdated,Oil_reserves_backdated,Oil_Discoveries,Oil_Production,Oil_Reserves,Gas_Discoveries,Gas_Production,Gas_Reserves,Coal_Discoveries,Coal_Production,Coal_Reserves
1900,,,,366.0,0.85,365.15,183.0,0.265825512,182.734174488,0.0,19.26,-19.26
1901,29.97845,1.5373829999999997,28.441067,489.49661401925255,1.7999999999999998,487.69661401925254,261.2806479662209,0.560406542,260.7202414242209,308.0978226723432,38.870000000000005,269.2278226723432
1902,37.6652186793,2.3322502953999997,35.332968383899996,613.7525739406906,2.83,610.9225739406905,340.0946780933764,0.883743076,339.2109350173764,620.2702250044943,58.95,561.3202250044942
1903,39.202572417599995,3.1271175908,36.0754548268,738.7538471222952,3.93,734.8238471222952,419.43610789305933,1.235835118,418.2002727750593,936.5190867062433,80.86,855.6590867062433
1904,53.0387560379,3.9180784279000003,49.12067761,864.4852981292313,5.16,859.3252981292313,499.2983658888795,1.616682664,497.6816832248795,1256.84100238316,102.89,1153.95100238316
1905,66.87493964599999,4.7129457233,62.161993922699985,990.9306468320767,6.37,984.5606468320767,579.6742657426142,2.026285714,577.6479800286143,1581.2267794341915,126.64,1454.5867794341914
1906,70.71832400699999,5.507813018699999,65.21051098829999,1118.0724264282064,7.58,1110.4924264282065,660.5559799246874,2.464644272,658.0913356526875,1909.6609026318474,151.72,1757.9409026318474
1907,74.56170830699999,6.3795389172,68.1821693898,1245.8919415597234,9.07,1236.8219415597234,741.9350129904701,2.9317583120000004,739.0032546784701,2242.120964736898,179.46,2062.6609647368978
1908,78.405092668,8.2543210973,70.15077157069999,1374.3692267202223,10.68,1363.6892267202222,823.8021745330032,3.4276278920000003,820.3745466410031,2578.577062805246,205.82,2372.757062805246
1909,89.93524569,10.2184322813,79.7168134087,1503.4830051619983,12.379999999999999,1491.1030051619982,906.1475518925389,3.9522529760000005,902.195298916539,2918.9911602236284,233.37,2685.6211602236285
1910,107.61481365299998,12.169596196999999,95.44521745599998,1633.2106485355782,14.229999999999999,1618.9806485355782,988.9604827138005,4.519573376,984.4409093378005,3263.316414970943,262.39,3000.926414970943
