Year,Oil_Discoveries_backdated,Oil_Production_backdated,Oil_Reserves_backdated,Oil_Discoveries,Oil_Production,Oil_Reserves,Gas_Discoveries,Gas_Production,Gas_Reserves,Coal_Discoveries,Coal_Production,Coal_Reserves
1900,,,,366.85,0.85,366.0,183.265825512,0.265825512,183.0,19.360000000000003,19.26,0.10000000000000142
1901,29.97845,1.5373829999999997,28.441067,523.87525,1.7999999999999998,522.0752500000001,281.05999716006664,0.560406542,280.49959061806663,38.970000000000006,38.870000000000005,0.10000000000000142
1902,37.6652186793,2.3322502953999997,35.332968383899996,680.9005000000002,2.83,678.0705000000002,378.8541688081333,0.883743076,377.9704257321333,59.050000000000004,58.95,0.10000000000000142
1903,39.202572417599995,3.1271175908,36.0754548268,837.9257500000002,3.93,833.9957500000003,476.6483404562,1.235835118,475.4125053382,80.96,80.86,0.09999999999999432
1904,53.0387560379,3.9180784279000003,49.12067761,994.9510000000002,5.16,989.7910000000003,574.4425121042666,1.616682664,572.8258294402666,102.99,102.89,0.09999999999999432
1905,66.87493964599999,4.7129457233,62.161993922699985,1151.9762500000002,6.37,1145.6062500000003,672.2366837523333,2.026285714,670.2103980383333,126.74,126.64,0.09999999999999432
1906,70.71832400699999,5.507813018699999,65.21051098829999,1309.0015000000003,7.58,1301.4215000000004,770.0308554004,2.464644272,767.5662111284,151.82,151.72,0.09999999999999432
1907,74.56170830699999,6.3795389172,68.1821693898,1466.0267500000004,9.07,1456.9567500000005,867.8250270484667,2.9317583120000004,864.8932687364667,179.56,179.46,0.09999999999999432
1908,78.405092668,8.2543210973,70.15077157069999,1623.0520000000006,10.68,1612.3720000000005,965.6191986965333,3.4276278920000003,962.1915708045333,205.92,205.82,0.09999999999999432
1909,89.93524569,10.2184322813,79.7168134087,1780.0772500000003,12.379999999999999,1767.6972500000002,1063.4133703446,3.9522529760000005,1059.4611173686,233.47,233.37,0.09999999999999432
1910,107.61481365299998,12.169596196999999,95.44521745599998,1937.1025000000004,14.229999999999999,1922.8725000000004,1161.2075419926666,4.519573376,1156.6879686166667,262.49,262.39,0.10000000000002274
1911,123.75702783499999,14.133707380999999,109.623320454,2094.1277500000006,16.18,2077.9477500000007,1259.0017136407332,5.117048564,1253.8846650767332,292.03000000000003,291.93,0.10000000000002274
1912,136.05585771699998,16.097818565,119.95803915199998,2251.1530000000007,18.169999999999998,2232.9830000000006,1356.7958852888,5.74467854,1351.0512067488,323.03000000000003,322.93,0.10000000000002274
1913,145.279980159,18.061929748999997,127.21805040999999,2408.178250000001,20.36,2387.8182500000007,1454.5900569368669,6.402463303999999,1448.1875936328668,356.25,356.15,0.10000000000002274
1914,159.116163761,20.026040932999997,139.090122828,2565.2035000000005,22.619999999999997,2542.5835000000006,1552.3842285849335,7.0904028199999996,1545.2938257649334,386.06,385.96,0.10000000000002274
1915,171.41499364299997,22.0226075818,149.39238606119997,2722.2287500000007,25.04,2697.1887500000007,1650.178400233,7.808497124,1642.369903109,415.4,415.29999999999995,0.10000000000002274
1916,189.86323846599998,24.967555742499997,164.8956827235,2879.254000000001,27.64,2851.614000000001,1747.9725718810666,8.556746252,1739.4158256290666,446.87,446.77,0.10000000000002274
1917,201.393391488,28.042448616399998,173.35094287159998,3036.2792500000005,30.51,3005.7692500000003,1845.7667435291332,9.335150168,1836.4315933611333,479.64,479.53999999999996,0.10000000000002274
1918,211.00185235999996,31.117341490299996,179.88451086969997,3193.3045000000006,33.36,3159.9445000000005,1943.5609151772,10.143708872,1933.4172063052001,511.83,511.72999999999996,0.10000000000002274
1919,227.91274346299997,34.1957368012,193.71700666179999,3350.329750000001,36.61,3313.7197500000007,2041.3550868252667,10.982422364,2030.3726644612666,539.13,539.03,0.10000000000002274
1920,248.66701886599998,38.1119369049,210.55508196109997,3507.355000000001,40.769999999999996,3466.585000000001,2139.1492584733332,11.851290643999999,2127.297967829333,570.42,570.3199999999999,0.10000000000002274
1921,263.271879328,42.2457914746,221.0260878534,3664.3802500000006,45.269999999999996,3619.1102500000006,2236.9434301214,12.750313676,2224.1931164454,596.55,596.4499999999999,0.10000000000002274
1922,279.029755141,47.3672316889,231.6625234521,3821.4055000000008,50.3,3771.1055000000006,2334.7376017694664,13.710023816,2321.0275779534663,624.13,624.03,0.10000000000002274
1923,300.552707404,53.4113572383,247.14135016569998,3978.4307500000014,56.239999999999995,3922.1907500000016,2432.5317734175337,14.834471107999999,2417.697302309534,656.25,656.15,0.10000000000002274
1924,311.314183566,59.5847464176,251.7294371484,4135.456000000002,62.169999999999995,4073.286000000002,2530.3259450656,16.123655516,2514.2022895496,687.53,687.43,0.10000000000002274
1925,331.29978217,65.758135603,265.54164656700004,4292.481250000002,68.39,4224.091250000001,2628.120116713667,17.577577076,2610.542539637667,718.89,718.79,0.10000000000002274
1926,434.30248244699993,72.05330736,362.2491750869999,4449.506500000001,74.77,4374.736500000001,2725.9142883617337,19.196235716,2706.7180526457337,750.11,750.01,0.10000000000002274
1927,570.358288009,79.30909558799999,491.04919242100004,4606.531750000002,82.05,4524.481750000002,2823.7084600098,20.979631544,2802.7288284658002,783.75,783.65,0.10000000000002274
1928,781.7444264,86.67399030699998,695.070436093,4763.557000000002,89.7,4673.857000000002,2921.502631657867,22.927764704,2898.574866953867,816.79,816.6899999999999,0.10000000000002274
1929,820.1782700099999,94.879898004,725.2983720059999,4920.582250000002,98.27000000000001,4822.312250000002,3019.2968033059333,24.996346304,2994.3004570019334,851.93,851.8299999999999,0.10000000000002274
1930,941.6292151099999,103.22020755,838.40900756,5077.607500000002,106.45000000000002,4971.157500000002,3117.090974954,27.164984648,3089.925990306,884.04,883.9399999999999,0.10000000000002274
1931,959.6931213199998,111.48108594600001,848.2120353739998,5234.6327500000025,114.36000000000001,5120.272750000003,3214.885146602067,29.436671048,3185.448475554067,912.36,912.26,0.10000000000002274
1932,994.2835806299998,119.05018810799999,875.2333925219998,5391.658000000002,121.91000000000001,5269.748000000002,3312.6793182501333,31.811405432,3280.8679128181334,937.54,937.4399999999999,0.10000000000002274
1933,1010.42579469,127.251246671,883.174548019,5548.683250000003,130.15,5418.533250000003,3410.4734898982006,34.289187872,3376.1843020262004,963.9,963.8,0.10000000000002274
1934,1036.56080854,136.60710971499998,899.953698825,5705.708500000002,138.85,5566.858500000001,3508.2676615462665,36.870018296,3471.3976432502664,992.67,992.5699999999999,0.10000000000002274
1935,1061.15846806,146.127745654,915.0307224059999,5862.733750000002,148.31,5714.423750000002,3606.0618331943338,39.553896775999995,3566.507936418334,1022.67,1022.5699999999999,0.10000000000002274
1936,1184.91544374,156.688771058,1028.226672682,6019.759000000002,158.61,5861.149000000002,3703.8560048424,42.34082323999999,3661.5151816024,1055.6299999999999,1055.53,0.09999999999990905
1937,1250.25297745,168.209955311,1082.043022139,6176.784250000002,170.34,6006.444250000002,3801.650176490467,45.33070063999999,3756.319475850467,1090.26,1090.16,0.09999999999990905
1938,1561.5671088,179.94308625999997,1381.62402254,6333.809500000002,181.79,6152.019500000002,3899.4443481385333,48.50571451999999,3850.9386336185335,1122.57,1122.47,0.09999999999990905
1939,1588.4707995099998,192.62550738299998,1395.8452921269998,6490.834750000003,193.72,6297.1147500000025,3997.2385197866,51.90881287999999,3945.3297069066,1156.7,1156.6000000000001,0.09999999999990905
1940,1735.67241942,205.43379358800001,1530.238625832,6647.860000000002,206.03,6441.830000000003,4095.0326914346665,55.53999571999999,4039.4926957146663,1194.3400000000001,1194.2400000000002,0.09999999999990905
1941,1814.07745975,218.271872925,1595.8055868249999,6804.885250000003,218.71,6586.175250000003,4192.826863082733,59.399263039999994,4133.4276000427335,1233.3600000000001,1233.2600000000002,0.09999999999990905
1942,1917.84883707,231.121448932,1686.727388138,6961.910500000002,230.65,6731.260500000002,4290.621034730801,63.486614839999994,4227.134419890801,1273.0500000000002,1272.9500000000003,0.09999999999990905
1943,1936.29708171,244.898406902,1691.398674808,7118.935750000002,243.5,6875.435750000002,4388.415206378866,67.80205111999999,4320.613155258866,1313.8400000000001,1313.7400000000002,0.09999999999990905
