Year,Oil_Discoveries_backdated,Oil_Production_backdated,Oil_Reserves_backdated,Oil_Discoveries,Oil_Production,Oil_Reserves,Gas_Discoveries,Gas_Production,Gas_Reserves,Coal_Discoveries,Coal_Production,Coal_Reserves
1900,,,,366.85,0.85,366.0,183.265825512,0.265825512,183.0,10403.26,19.26,10384.0
1901,29.97845,1.5373829999999997,28.441067,523.87525,1.7999999999999998,522.0752500000001,281.05999716006664,0.560406542,280.49959061806663,10622.562307692308,38.870000000000005,10583.692307692307
1902,37.6652186793,2.3322502953999997,35.332968383899996,680.9005000000002,2.83,678.0705000000002,378.8541688081333,0.883743076,377.9704257321333,10842.334615384616,58.95,10783.384615384615
1903,39.202572417599995,3.1271175908,36.0754548268,837.9257500000002,3.93,833.9957500000003,476.6483404562,1.235835118,475.4125053382,11063.936923076924,80.86,10983.076923076924
1904,53.0387560379,3.9180784279000003,49.12067761,994.9510000000002,5.16,989.7910000000003,574.4425121042666,1.616682664,572.8258294402666,11285.65923076923,102.89,11182.76923076923
1905,66.87493964599999,4.7129457233,62.161993922699985,1151.9762500000002,6.37,1145.6062500000003,672.2366837523333,2.026285714,670.2103980383333,11509.101538461538,126.64,11382.461538461539
1906,70.71832400699999,5.507813018699999,65.21051098829999,1309.0015000000003,7.58,1301.4215000000004,770.0308554004,2.464644272,767.5662111284,11733.873846153847,151.72,11582.153846153848
1907,74.56170830699999,6.3795389172,68.1821693898,1466.0267500000004,9.07,1456.9567500000005,867.8250270484667,2.9317583120000004,864.8932687364667,11961.306153846155,179.46,11781.846153846156
1908,78.405092668,8.2543210973,70.15077157069999,1623.0520000000006,10.68,1612.3720000000005,965.6191986965333,3.4276278920000003,962.1915708045333,12187.358461538463,205.82,11981.538461538463
1909,89.93524569,10.2184322813,79.7168134087,1780.0772500000003,12.379999999999999,1767.6972500000002,1063.4133703446,3.9522529760000005,1059.4611173686,12414.60076923077,233.37,12181.23076923077
1910,107.61481365299998,12.169596196999999,95.44521745599998,1937.1025000000004,14.229999999999999,1922.8725000000004,1161.2075419926666,4.519573376,1156.6879686166667,12643.313076923077,262.39,12380.923076923078
1911,123.75702783499999,14.133707380999999,109.623320454,2094.1277500000006,16.18,2077.9477500000007,1259.0017136407332,5.117048564,1253.8846650767332,12872.545384615387,291.93,12580.615384615387
1912,136.05585771699998,16.097818565,119.95803915199998,2251.1530000000007,18.169999999999998,2232.9830000000006,1356.7958852888,5.74467854,1351.0512067488,13103.237692307694,322.93,12780.307692307693
1913,145.279980159,18.061929748999997,127.21805040999999,2408.178250000001,20.36,2387.8182500000007,1454.5900569368669,6.402463303999999,1448.1875936328668,13336.15,356.15,12980.0
1914,159.116163761,20.026040932999997,139.090122828,2565.2035000000005,22.619999999999997,2542.5835000000006,1552.3842285849335,7.0904028199999996,1545.2938257649334,13507.008785046728,385.96,13121.048785046729
1915,171.41499364299997,22.0226075818,149.39238606119997,2722.2287500000007,25.04,2697.1887500000007,1650.178400233,7.808497124,1642.369903109,13677.867570093458,415.29999999999995,13262.567570093459
1916,189.86323846599998,24.967555742499997,164.8956827235,2879.254000000001,27.64,2851.614000000001,1747.9725718810666,8.556746252,1739.4158256290666,13848.726355140187,446.77,13401.956355140186
1917,201.393391488,28.042448616399998,173.35094287159998,3036.2792500000005,30.51,3005.7692500000003,1845.7667435291332,9.335150168,1836.4315933611333,14019.585140186915,479.53999999999996,13540.045140186914
1918,211.00185235999996,31.117341490299996,179.88451086969997,3193.3045000000006,33.36,3159.9445000000005,1943.5609151772,10.143708872,1933.4172063052001,14190.443925233645,511.72999999999996,13678.713925233646
1919,227.91274346299997,34.1957368012,193.71700666179999,3350.329750000001,36.61,3313.7197500000007,2041.3550868252667,10.982422364,2030.3726644612666,14361.302710280374,539.03,13822.272710280373
1920,248.66701886599998,38.1119369049,210.55508196109997,3507.355000000001,40.769999999999996,3466.585000000001,2139.1492584733332,11.851290643999999,2127.297967829333,14532.161495327102,570.3199999999999,13961.841495327102
1921,263.271879328,42.2457914746,221.0260878534,3664.3802500000006,45.269999999999996,3619.1102500000006,2236.9434301214,12.750313676,2224.1931164454,14703.020280373832,596.4499999999999,14106.570280373831
1922,279.029755141,47.3672316889,231.6625234521,3821.4055000000008,50.3,3771.1055000000006,2334.7376017694664,13.710023816,2321.0275779534663,14873.87906542056,624.03,14249.84906542056
1923,300.552707404,53.4113572383,247.14135016569998,3978.4307500000014,56.239999999999995,3922.1907500000016,2432.5317734175337,14.834471107999999,2417.697302309534,15044.737850467289,656.15,14388.58785046729
1924,311.314183566,59.5847464176,251.7294371484,4135.456000000002,62.169999999999995,4073.286000000002,2530.3259450656,16.123655516,2514.2022895496,15215.596635514019,687.43,14528.166635514019
1925,331.29978217,65.758135603,265.54164656700004,4292.481250000002,68.39,4224.091250000001,2628.120116713667,17.577577076,2610.542539637667,15386.455420560747,718.79,14667.665420560748
1926,434.30248244699993,72.05330736,362.2491750869999,4449.506500000001,74.77,4374.736500000001,2725.9142883617337,19.196235716,2706.7180526457337,15557.314205607476,750.01,14807.304205607476
1927,570.358288009,79.30909558799999,491.04919242100004,4606.531750000002,82.05,4524.481750000002,2823.7084600098,20.979631544,2802.7288284658002,15728.172990654206,783.65,14944.522990654206
1928,781.7444264,86.67399030699998,695.070436093,4763.557000000002,89.7,4673.857000000002,2921.502631657867,22.927764704,2898.574866953867,15899.031775700934,816.6899999999999,15082.341775700934
1929,820.1782700099999,94.879898004,725.2983720059999,4920.582250000002,98.27000000000001,4822.312250000002,3019.2968033059333,24.996346304,2994.3004570019334,16069.890560747663,851.8299999999999,15218.060560747663
1930,941.6292151099999,103.22020755,838.40900756,5077.607500000002,106.45000000000002,4971.157500000002,3117.090974954,27.164984648,3089.925990306,16240.749345794393,883.9399999999999,15356.809345794392
1931,959.6931213199998,111.48108594600001,848.2120353739998,5234.6327500000025,114.36000000000001,5120.272750000003,3214.885146602067,29.436671048,3185.448475554067,16411.60813084112,912.26,15499.34813084112
1932,994.2835806299998,119.05018810799999,875.2333925219998,5391.658000000002,121.91000000000001,5269.748000000002,3312.6793182501333,31.811405432,3280.8679128181334,16582.46691588785,937.4399999999999,15645.02691588785
1933,1010.42579469,127.251246671,883.174548019,5548.683250000003,130.15,5418.533250000003,3410.4734898982006,34.289187872,3376.1843020262004,16753.32570093458,963.8,15789.52570093458
1934,1036.56080854,136.60710971499998,899.953698825,5705.708500000002,138.85,5566.858500000001,3508.2676615462665,36.870018296,3471.3976432502664,16924.184485981306,992.5699999999999,15931.614485981307
1935,1061.15846806,146.127745654,915.0307224059999,5862.733750000002,148.31,5714.423750000002,3606.0618331943338,39.553896775999995,3566.507936418334,17095.043271028037,1022.5699999999999,16072.473271028037
1936,1184.91544374,156.688771058,1028.226672682,6019.759000000002,158.61,5861.149000000002,3703.8560048424,42.34082323999999,3661.5151816024,17265.902056074767,1055.53,16210.372056074766
1937,1250.25297745,168.209955311,1082.043022139,6176.784250000002,170.34,6006.444250000002,3801.650176490467,45.33070063999999,3756.319475850467,17436.760841121497,1090.16,16346.600841121497
1938,1561.5671088,179.94308625999997,1381.62402254,6333.809500000002,181.79,6152.019500000002,3899.4443481385333,48.50571451999999,3850.9386336185335,17607.619626168223,1122.47,16485.149626168222
1939,1588.4707995099998,192.62550738299998,1395.8452921269998,6490.834750000003,193.72,6297.1147500000025,3997.2385197866,51.90881287999999,3945.3297069066,17778.478411214954,1156.6000000000001,16621.878411214955
1940,1735.67241942,205.43379358800001,1530.238625832,6647.860000000002,206.03,6441.830000000003,4095.0326914346665,55.53999571999999,4039.4926957146663,17949.33719626168,1194.2400000000002,16755.09719626168
1941,1814.07745975,218.271872925,1595.8055868249999,6804.885250000003,218.71,6586.175250000003,4192.826863082733,59.399263039999994,4133.4276000427335,18120.19598130841,1233.2600000000002,16886.93598130841
1942,1917.84883707,231.121448932,1686.727388138,6961.910500000002,230.65,6731.260500000002,4290.621034730801,63.486614839999994,4227.134419890801,18291.05476635514,1272.9500000000003,17018.10476635514
1943,1936.29708171,244.898406902,1691.398674808,7118.935750000002,243.5,6875.435750000002,4388.415206378866,67.80205111999999,4320.613155258866,18461.913551401867,1313.7400000000002,17148.173551401866
1944,1988.5671088000001,260.74633189099995,1727.8207769090002,7275.961000000002,258.25,7017.711000000002,4486.209378026933,72.34557188,4413.863806146934,18632.772336448597,1352.9000000000003,17279.872336448596
1945,2068.89384128,276.74136972599996,1792.152471554,7432.986250000003,272.99,7159.996250000003,4584.003549675001,77.11717712,4506.886372555001,18803.631121495324,1384.3200000000004,17419.311121495324
1946,2103.86863902,292.788781612,1811.079857408,7590.011500000003,288.67,7301.341500000003,4681.797721323068,82.14416707999999,4599.653554243068,18974.489906542054,1418.1500000000003,17556.339906542053
1947,2131.54100598,310.666141221,1820.874864759,7747.036750000003,305.94,7441.096750000003,4779.591892971133,87.70572751999998,4691.886165451133,19145.348691588784,1456.1600000000003,17689.188691588784
1948,3022.25945273,330.709529944,2691.549922786,7904.0620000000035,325.48,7578.582000000004,4877.386064619201,93.99339283999998,4783.392671779201,19316.207476635514,1495.4400000000003,17820.767476635516
1949,3146.7851052699993,351.070917889,2795.714187380999,8061.087250000002,344.91,7716.1772500000025,4975.180236267266,100.71210595999999,4874.468130307266,19487.06626168224,1532.7900000000002,17954.27626168224
1950,3209.04793154,373.720828621,2835.327102919,8218.112500000003,366.71000000000004,7851.402500000003,5072.974407915333,108.40398763999998,4964.570420275333,19657.92504672897,1573.5900000000001,18084.33504672897
1951,3480.00652774,399.084370713,3080.922157027,8375.137750000002,391.43000000000006,7983.707750000001,5170.768579563401,117.52822111999998,5053.2403584434005,19828.7838317757,1616.5700000000002,18212.2138317757
1952,3526.89581681,425.83253923899997,3101.063277571,8532.163000000002,417.4200000000001,8114.743000000002,5268.562751211468,127.35487723999998,5141.207873971468,19999.642616822428,1659.3000000000002,18340.34261682243
1953,3761.3422609399995,454.6504644219999,3306.6917965179996,8689.188250000003,444.9000000000001,8244.288250000003,5366.356922859533,137.74571923999997,5228.611203619534,20170.501401869158,1702.2200000000003,18468.281401869157
1954,3868.9570225599996,485.05357958599996,3383.9034429739995,8846.213500000003,473.6700000000001,8372.543500000003,5464.151094507601,148.64507239999998,5315.506022107601,20341.36018691589,1744.5900000000001,18596.77018691589
1955,4012.69959721,519.419291106,3493.280306104,9003.238750000002,505.9100000000001,8497.328750000002,5561.945266155666,160.50189919999997,5401.4433669556665,20512.218971962615,1790.63,18721.588971962614
1956,4182.577184489999,555.75143364,3626.825750849999,9160.264000000003,541.0000000000001,8619.264000000003,5659.739437803733,173.36019847999998,5486.379239323734,20683.077757009345,1839.2800000000002,18843.797757009346
1957,4423.94172097,594.2354388919999,3829.7062820779997,9317.289250000003,577.9700000000001,8739.319250000004,5757.533609451801,187.33077536,5570.2028340918005,20853.936542056075,1889.3000000000002,18964.636542056076
1958,4746.01732897,634.1699427699999,4111.8473862,9474.314500000004,615.8700000000001,8858.444500000003,5855.327781099866,202.35734456,5652.970436539867,21024.795327102802,1940.9,19083.8953271028
1959,4895.14064103,677.27564645,4217.86499458,9631.339750000003,656.7700000000001,8974.569750000002,5953.121952747933,219.13217816,5733.989774587933,21195.654112149532,1994.38,19201.27411214953
1960,5222.596987049999,723.1467643899999,4499.45022266,9788.365000000003,700.8400000000001,9087.525000000003,6050.916124396001,237.39254348,5813.523580916,21366.512897196262,2050.09,19316.422897196262
1961,5505.854412399999,772.38583507,4733.468577329999,9945.390250000002,747.7500000000001,9197.640250000002,6148.710296044066,257.01050804,5891.699788004066,21537.371682242992,2102.58,19434.79168224299
1962,5785.65279249,826.02928875,4959.62350374,10102.415500000005,798.6300000000001,9303.785500000005,6246.504467692133,278.4736886,5968.030779092133,21708.23046728972,2156.33,19551.90046728972
1963,5958.605087819999,884.25163484,5074.35345298,10259.440750000003,853.2200000000001,9406.220750000004,6344.298639340201,301.958303,6042.3403363402,21879.089252336445,2211.71,19667.379252336446
1964,6374.459270299999,946.89608931,5427.563180989999,10416.466000000004,912.1800000000002,9504.286000000004,6442.092810988266,327.61768604,6114.475124948266,22049.948037383176,2269.54,19780.408037383175
1965,6668.0938357,1013.34623862,5654.747597080001,10573.491250000003,977.8100000000002,9595.681250000003,6539.886982636333,355.11623348,6184.770749156333,22220.806822429906,2328.5099999999998,19892.296822429907
1966,6817.217150199999,1086.2441330699999,5730.97301713,10730.516500000005,1049.0800000000002,9681.436500000005,6637.681154284401,384.70477028,6252.976384004401,22391.665607476636,2388.2999999999997,20003.365607476637
1967,7007.0803334,1164.95546904,5842.12486436,10887.541750000004,1125.5400000000002,9762.001750000003,6735.475325932468,416.54725628,6318.928069652468,22562.524392523363,2445.97,20116.55439252336
1968,7328.3872682,1249.5634432099998,6078.8238249900005,11044.567000000003,1208.9500000000003,9835.617000000002,6833.269497580533,451.37931908,6381.890178500534,22733.38317757009,2505.24,20228.14317757009
1969,7567.4457741,1342.9480741999998,6224.4976999,11201.592250000003,1298.7400000000002,9902.852250000004,6931.063669228599,489.63204788,6441.431621348599,22904.24196261682,2565.7099999999996,20338.53196261682
1970,7692.7401035,1443.6407943299998,6249.09930917,11358.617500000004,1397.5000000000002,9961.117500000004,7028.857840876668,524.77126988,6504.086570996668,23075.10074766355,2628.5999999999995,20446.50074766355
1971,7980.993926,1550.3341546099998,6430.65977139,11515.642750000005,1501.9000000000003,10013.742750000005,7126.652012524733,562.35957548,6564.292437044734,23245.95953271028,2690.9199999999996,20555.03953271028
