Fuel,Year,D_obs_EJ,D_backdated_EJ,D_added_EJ,D_hat_EJ,Cum_D_hat_EJ,Production,Cum_Prod_EJ,Reserves_hat_EJ,Reserves_EI
Coal,2004,184.73467725,184.73467725,12.367708527643515,197.10238577764352,77408.00302394642,118.7,5553.3099999999995,71854.69302394643,
Coal,2005,194.282096,194.282096,9.400692618302855,203.68278861830285,77611.68581256473,126.17,5679.48,71932.20581256473,
Coal,2006,280.407649,280.407649,7.09601507441937,287.50366407441936,77899.18947663915,132.54,5812.0199999999995,72087.16947663914,
Coal,2007,236.462465,236.462465,5.319285154737827,241.78175015473784,78140.97122679389,138.39,5950.41,72190.56122679388,
Coal,2008,363.73088522303084,363.73088522303084,3.9598258064406764,367.6907110294715,78508.66193782336,142.94,6093.349999999999,72415.31193782335,
Coal,2009,378.95337,378.95337,2.927405988368889,381.8807759883689,78890.54271381172,142.73,6236.079999999999,72654.46271381172,
Coal,2010,484.129227,484.129227,2.149185482292779,486.27841248229277,79376.82112629402,150.39,6386.469999999999,72990.35112629402,
Coal,2011,637.3088155436644,637.3088155436644,1.5669275111894763,638.875743054854,80015.69686934887,161.06,6547.53,73468.16686934888,
Coal,2012,366.62359375,366.62359375,1.1345090882756494,367.75810283827565,80383.45497218714,162.75,6710.28,73673.17497218715,
Coal,2013,281.657962,281.657962,0.8157387985437481,282.47370079854375,80665.92867298568,165.37,6875.65,73790.27867298569,
Coal,2014,230.19779,230.19779,0.5824763876199768,230.78026638761997,80896.7089393733,164.96,7040.61,73856.0989393733,
Coal,2015,243.042114,243.042114,0.4130376075853519,243.45515160758535,81140.16409098089,160.37,7200.98,73939.1840909809,
Coal,2016,472.765773,472.765773,0.2908606259738349,473.05663362597386,81613.22072460687,151.58,7352.5599999999995,74260.66072460687,
Coal,2017,467.40639458732875,467.40639458732875,0.20340627120310728,467.60980085853186,82080.8305254654,155.01,7507.57,74573.26052546539,
Coal,2018,726.5874496746575,726.5874496746575,0.1412627994751574,726.7287124741326,82807.55923793952,162.3,7669.87,75137.68923793953,
Coal,2019,486.2395803809931,486.2395803809931,0.0974261060414392,486.33700648703456,83293.89624442656,163.95,7833.82,75460.07624442657,
Coal,2020,406.5194082619863,406.5194082619863,0.06672782161797386,406.5861360836043,83700.48238051016,156.22,7990.04,75710.44238051017,
Coal,2021,561.6865555873287,561.6865555873287,0.045386073869508436,561.7319416611982,84262.21432217136,162.5,8152.54,76109.67432217137,
Coal,2022,305.21912388099315,305.21912388099315,0.03065648443146074,305.2497803654246,84567.46410253679,174.56,8327.1,76240.36410253678,
Coal,2023,560.99576,560.99576,0.02056393160813741,561.0163239316082,85128.48042646839,0.0,8327.1,76801.38042646839,
Coal,2024,534.381875,534.381875,0.013698531650788937,534.3955735316508,85662.87600000005,0.0,8327.1,77335.77600000004,77335.776
Gas,1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gas,1901,0.1752632,0.2772906676777989,0.0,0.2772906676777989,0.2772906676777989,0.0,0.0,0.2772906676777989,
Gas,1902,0.0438158,0.06929998404772661,0.0,0.06929998404772661,0.3465906517255255,0.0,0.0,0.3465906517255255,
Gas,1903,0.0,0.0,0.0,0.0,0.3465906517255255,0.0,0.0,0.3465906517255255,
Gas,1904,11.629518000000001,18.380919024729383,0.0,18.380919024729383,18.727509676454908,0.0,0.0,18.727509676454908,
Gas,1905,0.0438158,0.06922791408684341,0.0,0.06922791408684341,18.796737590541753,0.0,0.0,18.796737590541753,
Gas,1906,0.0438158,0.06920248494573018,0.0,0.06920248494573018,18.865940075487483,0.0,0.0,18.865940075487483,
Gas,1907,0.0,0.0,0.0,0.0,18.865940075487483,0.0,0.0,18.865940075487483,
Gas,1908,0.36,0.5681462376800999,0.0,0.5681462376800999,19.434086313167583,0.0,0.0,19.434086313167583,
Gas,1909,0.0,0.0,0.0,0.0,19.434086313167583,0.0,0.0,19.434086313167583,
Gas,1910,0.6302,0.9937630470069254,0.0,0.9937630470069254,20.42784936017451,0.0,0.0,20.42784936017451,
Gas,1911,0.1314474,0.20719154168348972,0.0,0.20719154168348972,20.635040901857998,0.0,0.0,20.635040901857998,
Gas,1912,10.401886,16.38861532066497,0.0,16.38861532066497,37.02365622252297,0.0,0.0,37.02365622252297,
Gas,1913,0.2544265,0.40067945655760007,0.0,0.40067945655760007,37.42433567908057,0.0,0.0,37.42433567908057,
Gas,1914,1.1491534,1.8088874398123302,0.0,1.8088874398123302,39.2332231188929,0.0,0.0,39.2332231188929,
Gas,1915,1.0615218,1.6701494316491694,0.0,1.6701494316491694,40.90337255054207,0.0,0.0,40.90337255054207,
Gas,1916,5.3160773,8.359965193309812,0.0,8.359965193309812,49.263337743851885,0.0,0.0,49.263337743851885,
Gas,1917,1.3122158000000002,2.062523590012068,0.0,2.062523590012068,51.325861333863955,0.0,0.0,51.325861333863955,
Gas,1918,0.33249838000000004,0.5223447054265526,0.0,0.5223447054265526,51.84820603929051,0.0,0.0,51.84820603929051,
Gas,1919,0.1314474,0.20638921158565318,0.0,0.20638921158565318,52.05459525087616,0.0,0.0,52.05459525087616,
Gas,1920,1.42874666,2.2420777792596263,0.0,2.2420777792596263,54.296673030135786,0.0,0.0,54.296673030135786,
Gas,1921,0.0876316,0.13743886541450373,0.0,0.13743886541450373,54.43411189555029,0.0,0.0,54.43411189555029,
